id,company_name,address,address2,city,state,zip_code,country,phone,intake_phone,hotline,email,website,latitude,longitude,type_facility,type_of_care,service_setting,payment_accepted,special_programs,languages,facility_operation,age_groups_accepted,emergency_services,payment_assistance,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
11,Mind and Body Consortium,118 Sandhill Drive,Suite 202,Middletown,DE,19709,US,302-674-2380 1218,302-674-2380 x1239,,,https://www.mindandbodyde.com,39.4519123,-75.7303802,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; State corrections or juvenile justice funds; State education agency funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Young adults; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with Alzheimer's or dementia; Persons with eating disorders; Persons with post-traumatic stress disorder (PTSD); Children/adolescents with serious emotional disturbance (SED); Persons 18 and older with serious mental illness (SMI),Spanish; Sign language services for the deaf and hard of hearing; Other languages (excluding Spanish),Private for-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,f88fb1ea8c03fdcda4699fb11dc1f2d5,2026-03-25 18:25:37,2026-03-26 14:22:29,0
12,Westside Family Healthcare,404 Fox Hunt Drive,,Bear,DE,19701,US,302-836-2864,302-224-6800,,,https://www.westsidehealth.org,39.6077457,-75.7090723,,Substance use treatment; Mental health treatment,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,c84eb11ba578e696c47859fa7d740991,2026-03-25 18:25:37,2026-03-26 14:22:29,0
13,Reliance Healthcare LLC,1993 Pulaski Highway,,Bear,DE,19701,US,302-838-3100,,,,https://reliancehealthllc.com,39.6087793,-75.714353,,Substance use treatment,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,Medicare; Medicaid; Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid,,Spanish; Other languages (excluding Spanish),Private for-profit organization,,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,6ec1bdc27d9682d052d3cdf2fb6bdaee,2026-03-25 18:25:37,2026-03-26 14:22:29,0
14,Brandywine Counseling - South Chapel,24 Brookhill Drive,,Newark,DE,19702,US,302-454-3020,,,,https://www.brandywinecounseling.com,39.648328,-75.7268106,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,Medicare; Medicaid; Private health insurance; Cash or self-payment,Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD),,Private non-profit organization,Young Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,49c5010330edc1516bb0e3eeeee73023,2026-03-25 18:25:37,2026-03-26 14:22:29,0
15,Westside Family Healthcare,27 Marrows Road,,Newark,DE,19713,US,302-455-0900,302-224-6800,,,https://www.westsidehealth.org,39.6645073,-75.7257646,,Substance use treatment; Mental health treatment,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,091241e4d7f6353ca07a842d843627bb,2026-03-25 18:25:37,2026-03-26 14:22:29,0
16,DSAMH Bridge Clinic,14 Central Avenue,,New Castle,DE,19720,US,302-288-0230,,,,https://helpisherede.com,39.7012333,-75.5741308,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,State mental health agency (or equivalent) funds,,,State government,Young Adults; Seniors,Psychiatric emergency onsite services,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,46c04360053e625fe3b8da4feecad9c9,2026-03-25 18:25:37,2026-03-26 14:22:29,0
17,ChristianaCare - Christiana Hospital,4755 Ogletown Stanton Road,,Newark,DE,19713,US,302-320-2926,302-320-2118,,,https://www.christianacare.org,39.6885914,-75.6710432,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",Seniors or older adults; Clients with co-occurring mental and substance use disorders; Persons 18 and older with serious mental illness (SMI),,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,Crisis intervention team; Psychiatric emergency onsite services; Psychiatric emergency walk-in services,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,68396a6f0bb599b02bf0db7b3608f733,2026-03-25 18:25:37,2026-03-26 14:22:29,0
18,Rockford Center,100 Rockford Drive,,Newark,DE,19713,US,302-996-5480,,,,https://rockfordcenter.com,39.695121,-75.6610596,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Hospital inpatient/24-hour hospital inpatient; Outpatient; Partial hospitalization/day treatment,"County or local government funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Other State funds; Private health insurance; State corrections or juvenile justice funds; State education agency funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Young adults; Seniors or older adults; Veterans; Active duty military; Members of military families; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD); Children/adolescents with serious emotional disturbance (SED); Persons 18 and older with serious mental illness (SMI),,Private for-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,Crisis intervention team; Psychiatric emergency onsite services; Psychiatric emergency walk-in services,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,44650c0ae35f683ef91bbcba39e8ec89,2026-03-25 18:25:37,2026-03-26 14:22:29,0
19,Brandywine Counseling and - Community Services Inc (BCCS),769 East Masten Circle,Suite 115,Milford,DE,19963,US,302-856-4700,,,,https://brandywinecounseling.com,38.9203609,-75.4419547,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,Medicare; Medicaid; Other State funds; Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds,Young adults,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,c19e782cfbe559462f463bb191a3f497,2026-03-25 18:25:37,2026-03-26 14:22:29,0
20,Coras Wellness and Behavioral Health - Mens Residential Treatment Program,1-11 East Street,Suite AA,Harrington,DE,19952,US,833-886-2277 1,,,,https://www.coraswellness.org,38.9205744,-75.5751177,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD),Spanish,Private non-profit organization,Young Adults; Seniors,Psychiatric emergency walk-in services,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,77fd10c0e4ea78aa03b9ed544d1ad3a6,2026-03-25 18:25:37,2026-03-26 14:22:29,0
21,Tri State Health Inc,266 South College Avenue,,Newark,DE,19711,US,410-392-6408,,,,https://tristatehealthinc.com,39.6756784,-75.7539014,,Substance use treatment; Detoxification,Outpatient; Outpatient detoxification; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",Clients with co-occurring pain and substance use disorders,Other languages (excluding Spanish),Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,41e02267734acaec15c2a7375dc79f19,2026-03-25 18:25:37,2026-03-26 14:22:29,0
22,Mind and Body Consortium,513 North Dupont Boulevard,Suite B,Milford,DE,19963,US,302-424-1322,302-674-2380 x1239,,,https://www.mindandbodyde.com,38.9161673,-75.4424886,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; State corrections or juvenile justice funds; State education agency funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Young adults; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with Alzheimer's or dementia; Persons with eating disorders; Persons with post-traumatic stress disorder (PTSD); Children/adolescents with serious emotional disturbance (SED); Persons 18 and older with serious mental illness (SMI),Spanish; Sign language services for the deaf and hard of hearing; Other languages (excluding Spanish),Private for-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,efea8bec20aa0b29a1eb039a01d93fe9,2026-03-25 18:25:37,2026-03-26 14:22:29,0
23,Banyan Delaware,21 West Clarke Avenue,Suite 4001,Milford,DE,19963,US,800-547-4615,855-722-6926,,,https://banyantreatmentcenter.com,38.9068879,-75.4327429,,Substance use treatment; Detoxification,Hospital inpatient/24-hour hospital inpatient; Outpatient; Residential/24-hour residential; Hospital inpatient detoxification; Hospital inpatient treatment; Outpatient day treatment or partial hospitalization; Intensive outpatient treatment; Residential detoxification; Long-term residential; Short-term residential,"Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment","Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,644f2edc9bdd62d12666f71fd2b90e69,2026-03-25 18:25:37,2026-03-26 14:22:29,0
24,La Red Health Center - Milford,21 West Clarke Avenue,Suite 1001,Milford,DE,19963,US,302-855-1233 1250,,,,https://www.laredhealthcenter.org,38.9068879,-75.4327429,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"County or local government funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Other State funds; Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds",,Sign language services for the deaf and hard of hearing; Spanish; Other languages (excluding Spanish),Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,1f9aa7d1ecfe48841c2ee68222fdc55a,2026-03-25 18:25:37,2026-03-26 14:22:29,0
25,Pace Inc - DBA Sanare Today,5171 West Woodmill Drive,Suite 9,Wilmington,DE,19808,US,302-999-9812,,,,https://sanaretoday.com,39.7186174,-75.6702875,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,Medicaid; Private health insurance; Cash or self-payment,Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD); Persons 18 and older with serious mental illness (SMI),Spanish,Private for-profit organization,Young Adults; Seniors,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,07cf4d403d32f2b827cb3dc23a2165e2,2026-03-25 18:25:37,2026-03-26 14:22:29,0
26,Coras Wellness and Behavioral Health - Womens Residential Treatment Center,1121 Brandywine Street,,Wilmington,DE,19802,US,833-886-2277 1,,,,https://www.coraswellness.org,39.741976,-75.53455,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Residential/24-hour residential; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment; Long-term residential; Short-term residential,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants",Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients who have experienced trauma,Spanish; Sign language services for the deaf and hard of hearing,Private non-profit organization,Young Adults; Adults,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,0b11735f93d0632ecaaac3e15a58b640,2026-03-25 18:25:37,2026-03-26 14:22:29,0
27,Lotus Recovery Centers of - Prices Corner LLC,1812 Newport Gap Pike,,Wilmington,DE,19808,US,302-500-5891,888-918-2403 x1,,,https://www.lotusrecoverycenters.com,39.7340992,-75.6289334,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"IHS/Tribal/Urban (ITU) funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Private or Community foundation; Cash or self-payment; State-financed health insurance plan other than Medicaid; U.S. Department of VA funds",Clients with co-occurring mental and substance use disorders,,Private for-profit organization,Young Adults; Seniors,Crisis intervention team; Psychiatric emergency onsite services,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,fb385c8768fdfd160a5ede07473e7907,2026-03-25 18:25:37,2026-03-26 14:22:29,0
28,Westside Family Healthcare,908 B East 16th Street,,Wilmington,DE,19802,US,302-575-1414,302-224-6800,,,https://www.westsidehealth.org,39.745558,-75.5336146,,Substance use treatment,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,Medicare; Medicaid; Private health insurance; Cash or self-payment,"Adolescents; Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",Spanish; Sign language services for the deaf and hard of hearing,Private non-profit organization,,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,19d9d1587efce68590081e2107f17b6e,2026-03-25 18:25:37,2026-03-26 14:22:29,0
29,Limen Recovery/Wellness - 3 1 Residential,819 North Washington Street,,Wilmington,DE,19801,US,302-655-1153,,,,https://www.limende.org,39.7459851,-75.552968,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Residential/24-hour residential,Medicare; Medicaid; Private health insurance; Cash or self-payment,"Seniors or older adults; Veterans; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with post-traumatic stress disorder (PTSD)",,Private non-profit organization,Young Adults; Seniors,,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,f8d6960c5510cf789b040bb245efb08c,2026-03-25 18:25:37,2026-03-26 14:22:29,0
