id,company_name,address,city,state,zip_code,country,phone,email,website,qualitypro_certified,greenpro_certified,certifications,npma_member,state_queried,member_url,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
12,Arrow Exterminators,3501 Amnicola Hwy,Chattanooga,TN,37406-0565,US,14236297378,,http://www.arrowexterminators.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,36ec49cbaa71d3a7e25bfcf482d021af,2026-03-26 04:36:19,2026-03-26 04:36:19,1
13,Turner Pest Solutions,,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,1dcfe32687cfb71794a329bcf6e3255a,2026-03-26 04:36:19,2026-03-26 04:36:19,1
14,"Morton's Pest Control, Inc.",,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,e609c3c28965fccd69b8d11686cc6d18,2026-03-26 04:36:19,2026-03-26 04:36:19,1
15,The Bug Doctor,,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,dcaaec40a9ec300cd8239d296f4180ce,2026-03-26 04:36:19,2026-03-26 04:36:19,1
16,Orkin,1120 Newell Parkway,Montgomery,AL,36110,US,13342723140,,,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,d2d75213296bf5b142b129659eea4055,2026-03-26 04:36:19,2026-03-26 04:36:19,1
17,Rentokil Terminix,4161 Wall Street,Montgomery,AL,36106,US,13342709400,,http://www.terminix.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,55c4acdacca718707695eade24f9193a,2026-03-26 04:36:19,2026-03-26 04:36:19,1
18,Arrow Exterminators,110 Three West Pkwy,Villa Rica,GA,30180,US,17704567072,,http://www.arrowexterminators.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,e7a5a60472706530ddbea9776bbb907d,2026-03-26 04:36:19,2026-03-26 04:36:19,1
19,"Tactical Home And Pest Services, LLC",,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,f88b2f068a40fde2f205ec7e17737f14,2026-03-26 04:36:19,2026-03-26 04:36:19,1
20,Rentokil Terminix,107 Vanderbilt Drive,Dothan,AL,36301,US,13347924169,,http://www.terminix.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,21ba0a035a0bee1b7f4b72ff19ae88cb,2026-03-26 04:36:19,2026-03-26 04:36:19,1
21,Allclear Pest Service,,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,13c04b7007b0dd7b505c41890a7013d4,2026-03-26 04:36:19,2026-03-26 04:36:19,1
22,Tabor Pest Control,,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,59a51299404ad9845129f2336a0ae6fe,2026-03-26 04:36:19,2026-03-26 04:36:19,1
23,Presto-X,1980 Surgi Dr.,Mandeville,LA,70448,US,12253348348,,https://www.prestox.com/your-local-office/louisiana/new-orleans/index.html,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,7c1058bdbce6004de541dd5519e26b66,2026-03-26 04:36:19,2026-03-26 04:36:19,1
24,Presto-X,1980 Surgi Drive,Mandeville,LA,70448,US,19856267378,,http://www.fischerenv.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,a3f40990264fed231bbf5e6c001bcd87,2026-03-26 04:36:19,2026-03-26 04:36:19,1
25,"Cingo, Inc.",120 Interstate North Pkwy SE,Atlanta,GA,30339,US,14782726271,,http://www.allgoodpest.com/augusta,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,8159edb89a12f24661698025e0a0e4b2,2026-03-26 04:36:19,2026-03-26 04:36:19,1
26,"Arrow Exterminators, Inc.",,Columbus,GA,31908,US,17065616163,,http://www.arrowexterminators.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,ef0f66c4e46011927214001d04e20b26,2026-03-26 04:36:19,2026-03-26 04:36:19,1
27,Arrow Exterminators,,Columbus,GA,31909,US,,,http://www.arrowexterminators.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,e891b552944066c308254d7b808e1a47,2026-03-26 04:36:19,2026-03-26 04:36:19,1
28,"Top Gun Pest Control, LLC",,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,8d7b0fc023df4dde5305b1b9bb34cf6f,2026-03-26 04:36:19,2026-03-26 04:36:19,1
29,Stark Exterminators,397 West Oxmoor Rd.,Birmingham,AL,35209,US,12053419882,,http://www.arrowexterminators.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,cec52cfa58cf2c80fcc50daa4d51127a,2026-03-26 04:36:19,2026-03-26 04:36:19,1
30,Farmers Pest Control,,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,c0382d54f087014a82b0bbb124dc9822,2026-03-26 04:36:19,2026-03-26 04:36:19,1
31,Pied Piper Pest Control,,,AK,,US,,,,False,False,NPMA Member,True,AK,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,ecf4928a6260b32acbce7e6897712bea,2026-03-26 04:36:19,2026-03-26 04:36:19,1
32,"Alaska Pest Management, Inc.",,,AK,,US,,,,False,False,NPMA Member,True,AK,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,a8008a1c7a1ceead50b3f54b76a0ff29,2026-03-26 04:36:19,2026-03-26 04:36:19,1
33,"Invader Pest Management, Inc.",6087 N 57Th Drive,Glendale,AZ,85301,US,16234350228,,http://www.invader.net,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,8e5869e7855b93b0a2821df2c5911a4c,2026-03-26 04:36:19,2026-03-26 04:36:19,1
34,Sprague Pest Solutions,1950 W Rose Garden Ln Suite 15,Phoenix,AZ,85027,US,,,http://www.spraguepest.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,383c8fda509c175d8d7bb24a314b20bb,2026-03-26 04:36:19,2026-03-26 04:36:19,1
35,Responsible Pest & Scorpion Control,4360 W Chandler Blvd Ste 9,Chandler,AZ,85226-4974,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,8bfe76c52edc5faf6a4e56db65bc373f,2026-03-26 04:36:19,2026-03-26 04:36:19,1
36,CAPE Pest Control,1256 S Pasadena,Mesa,AZ,85210,US,14808003777,,http://www.capepest.co,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,7f82fff7fedda775741742ad0c84d408,2026-03-26 04:36:19,2026-03-26 04:36:19,1
37,Western Exterminator Company,"4246 East Wood St, Suite 350",Phoenix,AZ,85040,US,16022758555,,http://www.westernexterminator.com/locations/details/arizona,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,fe34c30758c03ea2365a4f6e5aae6208,2026-03-26 04:36:19,2026-03-26 04:36:19,1
38,Saela,,Orem,UT,84059,US,14352568874,,https://saelapest.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,6872446953b5337ebc0acdeeba619ce6,2026-03-26 04:36:19,2026-03-26 04:36:19,1
39,Orkin,8957 W Windsor Drive #119,Peoria,AZ,85381,US,16239301593,,,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,326f9fd3a6b8ba0517c1c30330b2904a,2026-03-26 04:36:19,2026-03-26 04:36:19,1
40,Burns Pest Elimination,,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,a86e6432e35e9d199e58e44a67cac05a,2026-03-26 04:36:19,2026-03-26 04:36:19,1
41,Connolly Pest Management,,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,651e6bcd5bdeb439179458477c719b56,2026-03-26 04:36:19,2026-03-26 04:36:19,1
42,"University Termite & Pest Control, Inc.",,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,359af45a23d8d7b7aa512d45db7d3679,2026-03-26 04:36:19,2026-03-26 04:36:19,1
43,Orkin,3830 West Indian School Road,Phoenix,AZ,85019,US,16022787051,,http://www.orkin.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,f9f83d3bd6410e1f631a25a5c5b0db4b,2026-03-26 04:36:19,2026-03-26 04:36:19,1
44,Arrow Exterminators,"301 W Deer Valley Rod, Suite 3",Phoenix,AZ,85027,US,16234348586,,http://www.arrowexterminators.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,b1e5882bd0799aede9dca077753d23d3,2026-03-26 04:36:19,2026-03-26 04:36:19,1
45,Aptive Environmental,,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,b0b6f29af434a04ecb47000eadd1fd02,2026-03-26 04:36:19,2026-03-26 04:36:19,1
46,"Alpha Pest Control, Inc.",,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,303e088ec1611bbb199a585f70a21c79,2026-03-26 04:36:19,2026-03-26 04:36:19,1
47,Atomic Pest Control,,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,bb15ea7f01e5d5ef91faea851674e0cd,2026-03-26 04:36:19,2026-03-26 04:36:19,1
48,Rentokil Terminix,"8550 N. 91st Avenue, Suite 77",Peoria,AZ,85345,US,16232937729,,http://www.terminix.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,a3c539e16980d55fde293a49d58c1427,2026-03-26 04:36:19,2026-03-26 04:36:19,1
49,Orkin,"75 W. Baseline Road, Suite 32",Gilbert,AZ,85233,US,14809699127,,http://www.orkin.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,ddd6a07d51cf0f95c7686a86d11db3ff,2026-03-26 04:36:19,2026-03-26 04:36:19,1
50,Western Exterminator Company,3149 East Prince Rd.,Tucson,AZ,85716,US,15023273120,,http://www.westernexterminator.com/tucson,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,5badb81854fcc2b2991eb6aa379dd411,2026-03-26 04:36:19,2026-03-26 04:36:19,1
51,Responsible Pest & Scorpion Control,2550 W Ruthrauff Rd,Tucson,AZ,85705-1895,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,445c5b7a0decb9ca3d88c0356b8df32c,2026-03-26 04:36:19,2026-03-26 04:36:19,1
52,Arizona Pest Control,1127 N. Rook Avenue,Tucson,AZ,85712-5113,US,15208867378,,http://www.azpest.com,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,84aa9caeed457ec936640b8b8b44302c,2026-03-26 04:36:19,2026-03-26 04:36:19,1
53,Essential Pest Control,,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,56ed7e7d45c139a1b275f44bf1e25b11,2026-03-26 04:36:19,2026-03-26 04:36:19,1
54,"Patriot Pest & Termite Control, Inc.",,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,efa49dd5ddac6d2cb87c819b2d6a86e9,2026-03-26 04:36:19,2026-03-26 04:36:19,1
55,Blue Sky Pest Control,1936 West Rawhide Avenue,Gilbert,AZ,85233,US,14802203842,,http://www.blueskypest.com,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,e74fc182393808c29c72b0030b6e1561,2026-03-26 04:36:19,2026-03-26 04:36:19,1
56,Schendel Pest Services,1240 W San Pedro St,,AZ,,US,14807339177,,,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,890595a6a9a37d830a80d197d4bcb206,2026-03-26 04:36:19,2026-03-26 04:36:19,1
57,Rentokil Terminix,1240 W. San Pedro Street,Gilbert,AZ,85233,US,14804971500,,,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,ec721ae60dfeb22d543021c3d346d317,2026-03-26 04:36:19,2026-03-26 04:36:19,1
58,Magic Pest Control,,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,4a4991ab435a229feb13560092b8ca7b,2026-03-26 04:36:19,2026-03-26 04:36:19,1
59,HomeTeam Pest Defense,"4710 Eisenhower Boulevard, Suite F-3",Tampa,FL,33634,US,18138864700,,,True,False,QualityPro Certified,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,2c5a251c8d20ba100548d284c64c2ea9,2026-03-26 04:36:19,2026-03-26 04:36:19,1
60,"Truly Nolen of America, Inc.",,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,7da0b078c78da3b0ad929bf4f2cfb17f,2026-03-26 04:36:19,2026-03-26 04:36:19,1
61,"Termio, LLC",,,AZ,,US,,,,False,False,NPMA Member,True,AZ,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,f4ba2cb54b93eb9055d757d7996d93a5,2026-03-26 04:36:19,2026-03-26 04:36:19,1
62,Orkin,8720 Interstate 30,Little Rock,AR,72209,US,15015657507,,http://www.orkin.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,6d1cfccbca91c9cdf93580df212caac0,2026-03-26 04:36:19,2026-03-26 04:36:19,1
63,Presto-X,"1235 Sturgis Road, Suite 9",Conway,AR,72034,US,15017644100,,http://www.prestox.com/your-local-office/arkansas/index.html,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,f49fdf22dad37579dac0e40eb7bb01a1,2026-03-26 04:36:19,2026-03-26 04:36:19,1
64,Delta Pest Control,1215 E. 14th Street,Russellville,AR,72802,US,14798906960,,http://www.deltapestcontrol.net,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,1552a7e50dd8bf093f9fc338fb1d5ee1,2026-03-26 04:36:19,2026-03-26 04:36:19,1
65,West Termite Pest & Lawn,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,f5afcf56b898fc7ba265094b1439caba,2026-03-26 04:36:19,2026-03-26 04:36:19,1
66,Manning Pest Services,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,978ccfe9f22a47d2779a262cf110d7fa,2026-03-26 04:36:19,2026-03-26 04:36:19,1
67,"Curry's Termite, Pest & Animal Control",,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,8fd0896c0dffde022fcb2a9590ef1b07,2026-03-26 04:36:19,2026-03-26 04:36:19,1
68,Presto-X,6150 State Highway 77,Benton,MO,63736,US,15733346690,,http://www.prestox.com/your-local-office/missouri/southeast-missouri/index.html,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,ba7f87095d14d170dd8138fe60a23a65,2026-03-26 04:36:19,2026-03-26 04:36:19,1
69,Orkin,"3704 S. Caraway Road, Suite 1",Jonesboro,AR,72404,US,18709328090,,http://www.orkin.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,4bf47dfd8b915775e6df2ec2a50fe3de,2026-03-26 04:36:19,2026-03-26 04:36:19,1
70,All American Pest Control,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,cd11e0244dadd29aaabafc782e30d5fa,2026-03-26 04:36:19,2026-03-26 04:36:19,1
71,"Acme Pest Management, Inc.",,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,311ce1b0cb78f18e1f6cc0f28f8df353,2026-03-26 04:36:19,2026-03-26 04:36:19,1
72,Superior Termite & Pest,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,5eccac7113994a840d065db3431a0c2e,2026-03-26 04:36:19,2026-03-26 04:36:19,1
73,Hyde's Termite & Pest Control,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,94490a5de857085f279e81498baafb41,2026-03-26 04:36:19,2026-03-26 04:36:19,1
74,"Northeast Arkansas Termite & Pest Control, Inc.",,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,cef0a90b6bc051b9b2b1326f0192e352,2026-03-26 04:36:19,2026-03-26 04:36:19,1
75,Rentokil Terminix,7016 Alcoa Road,Benton,AR,72015-8014,US,15012213111,,http://www.terminix.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,a4b0760c56dab3a7787f43ac33ea495f,2026-03-26 04:36:19,2026-03-26 04:36:19,1
76,"Hopper Termite & Pest, Inc.",1593 Rossi Road,Mountain Home,AR,72654-2727,US,18704254122,,http://www.hopperenvironmentalservices.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,227c9d91b4a975373930f4685e2daca4,2026-03-26 04:36:19,2026-03-26 04:36:19,1
77,McCauley Services,23650 I 30,Bryant,AR,72022,US,15016268218,,http://www.callmccauley.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,6bb6d94561d4adea9e36f8659dfe93ba,2026-03-26 04:36:19,2026-03-26 04:36:19,1
78,Presto-X,,Van Buren,AR,72956,US,14794742074,,https://www.prestox.com/your-local-office/arkansas/west-arkansas/index.html,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,b51789100e58538b167a18187aa319f9,2026-03-26 04:36:19,2026-03-26 04:36:19,1
79,Rentokil Terminix,2002 North Shiloh Drive,Fayetteville,AR,72704,US,14794437600,,http://www.terminix.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,3a0f96af9b3ab59b367291eef3467e3b,2026-03-26 04:36:19,2026-03-26 04:36:19,1
80,Orkin,,Springdale,AR,72762,US,14796468276,,http://www.orkin.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,4e16d0f53e934b56bfa280a5965c53e2,2026-03-26 04:36:19,2026-03-26 04:36:19,1
81,Natural State Pest Control,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,bd882060a4d56b70fe478035369661e6,2026-03-26 04:36:19,2026-03-26 04:36:19,1
