id,company_name,address,city,state,zip,phone,email,website,country,pwsid,pws_type,owner_type,primary_source,population_served,service_connections,cities_served,county,epa_region,gw_sw_code,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
16,"ROBERTSDALE, CITY OF",,ROBERTSDALE,AL,36567,251-947-5772,,,US,AL0000061,CWS,L,GW,13242,4414,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,380eaccaf36699010fb025cefc795ee2,2026-03-25 14:39:55,2026-03-25 14:39:55,1
17,"SILVERHILL, TOWN OF",,SILVERHILL,AL,36576,251-945-5198,waterdept@townofsilverhill.org,,US,AL0000065,CWS,L,GW,2058,686,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,b6994f61043f463e4129469cdc825e85,2026-03-25 14:39:55,2026-03-25 14:39:55,1
18,SPANISH FORT WATER SYSTEM,30686 DRIFTWOOD LANE,SPANISH FORT,AL,36527,,,,US,AL0000068,CWS,L,SWP,10161,3387,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,5bfce8045759bc9d577c2f589027a957,2026-03-25 14:39:55,2026-03-25 14:39:55,1
19,"SUMMERDALE, WW BOARD OF THE TOWN OF",,SUMMERDALE,AL,36580,251-989-6202,,,US,AL0000073,CWS,L,GW,1800,600,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,f0a869698091ae916b44608d6524046b,2026-03-25 14:39:55,2026-03-25 14:39:55,1
20,BAKERHILL WATER AUTHORITY,,BAKERHILL,AL,36027,334-687-6444,,,US,AL0000079,CWS,L,GW,7056,2376,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,89c3e4492144af41fc3567bfb9da5dfa,2026-03-25 14:39:55,2026-03-25 14:39:55,1
21,BLUE SPRINGS WATER WORKS,,CLIO,AL,36017,,,,US,AL0000081,CWS,L,GW,636,200,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,b1f96c204efee80195689615760b2638,2026-03-25 14:39:55,2026-03-25 14:39:55,1
22,CLAYTON WATER WORKS & SEWER,,CLAYTON,AL,36016,334-775-8495,,,US,AL0000082,CWS,L,GW,2064,712,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,36f273082aba66b0212478c3b0d8b0d7,2026-03-25 14:39:55,2026-03-25 14:39:55,1
23,CLIO WATER WORKS,,CLIO,AL,36017,334-397-2723,joeyphillips1234@gmail.com,,US,AL0000083,CWS,L,GW,2832,910,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,7514fc8a66d4089985a79e4bf287b8af,2026-03-25 14:39:55,2026-03-25 14:39:55,1
24,EUFAULA WATER WORKS,P.O. Box,EUFAULA,AL,36072,334-687-1225,,,US,AL0000085,CWS,L,GW,17970,5990,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,66120b6480f30d5b8e8a29fbcd8659df,2026-03-25 14:39:55,2026-03-25 14:39:55,1
25,WEST BARBOUR COUNTY WATER AUTHORITY,P.O. Box 116,LOUISVILLE,AL,36048,334-266-5091,,,US,AL0000087,CWS,L,GW,1395,469,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,473e006c1eeed29ab1346e396523bb67,2026-03-25 14:39:55,2026-03-25 14:39:55,1
26,LOUISVILLE WATER WORKS,,LOUISVILLE,AL,36048,334-266-5210,,,US,AL0000088,CWS,L,GW,1350,460,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,79e7bb2fbcf81b8f123f2148ed39968e,2026-03-25 14:39:55,2026-03-25 14:39:55,1
27,MT ANDREW WATER AUTHORITY,,MIDWAY,AL,36053,334-529-3122,mountandrew_water@yahoo.com,,US,AL0000089,CWS,L,GWP,660,220,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,7111c70e496026ce1261d1b7dc60cec5,2026-03-25 14:39:55,2026-03-25 14:39:55,1
28,BRENT UTILITIES BOARD,,BRENT,AL,36034,205-926-4643,brentutilities@bellsouth.net,,US,AL0000091,CWS,L,GW,6750,2250,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,100afe201eacb73eb0101d9aca0e748a,2026-03-25 14:39:55,2026-03-25 14:39:55,1
29,CENTREVILLE WATER & SEWER,,CENTREVILLE,AL,35042,205-974-0773,mayormike@cityofcentreville.com,,US,AL0000092,CWS,L,GW,5985,1995,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,454a8f6fdf35abd83369356f759bbee7,2026-03-25 14:39:55,2026-03-25 14:39:55,1
30,GREEN POND WATER SYSTEM,,GREEN POND,AL,35074,205-938-9367,k.boyd@greenpondwater.org,,US,AL0000093,CWS,L,GW,8631,3050,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,d0742a6a162d0a83a7429b7f53d6381a,2026-03-25 14:39:55,2026-03-25 14:39:55,1
31,RANDOLPH WATER SYSTEM,,RANDOLPH,AL,36792,334-366-2907,screel55@gmail.com,,US,AL0000095,CWS,L,GWP,1308,436,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,8056ae0f3bd0bd3da240d8dd1ea22fe0,2026-03-25 14:39:55,2026-03-25 14:39:55,1
32,"WEST BLOCTON, TOWN OF",,WEST BLOCTON,AL,35184,205-938-7622,jonathanlawley8@gmail.com,,US,AL0000097,CWS,L,GW,4629,1543,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,c0b9480dc1a1639bb4fe3fdfe98ffa3a,2026-03-25 14:39:55,2026-03-25 14:39:55,1
33,"ALLGOOD WATER WORKS, TOWN OF",,ALLGOOD,AL,35013,205-274-7138,sta72chief@yahoo.com,,US,AL0000098,CWS,L,GW,861,287,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.575928+00:00,20260325_143907,72c5d3f07d6cac5eda06db5051f5b332,2026-03-25 14:39:55,2026-03-25 14:39:55,1
34,"BLOUNTSVILLE, THE UB OF THE TOWN OF",69145 Main St.,BLOUNTSVILLE,AL,35031,256-429-2495,,,US,AL0000100,CWS,L,GW,4266,1422,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,1b62ce994f16c57d6f1a0c5dd655fa9c,2026-03-25 14:39:55,2026-03-25 14:39:55,1
35,CLEVELAND WATER WORKS,"HONORABLE JERRY JONES, MAYOR",CLEVELAND,AL,35049,205-274-9640,,,US,AL0000101,CWS,L,SWP,3516,1172,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,28b01c49fda284f69c82e43c70f0c7b8,2026-03-25 14:39:55,2026-03-25 14:39:55,1
36,HAYDEN WATER WORKS,,HAYDEN,AL,35079,205-543-6882,waterdepartment@haydenal.gov,,US,AL0000102,CWS,L,SWP,2589,863,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,31155ce7d42184569a8825eb9d4da7d4,2026-03-25 14:39:55,2026-03-25 14:39:55,1
37,ONEONTA (UB OF THE CITY OF),,ONEONTA,AL,35121,205-274-2159,mgargus@ubon.us,,US,AL0000103,CWS,L,SW,19971,6657,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,f2185a45884f883a6b1daeb097b42776,2026-03-25 14:39:55,2026-03-25 14:39:55,1
38,PINE BLUFF WATER AUTHORITY,5501 County Road 15,CLEVELAND,AL,35049,205-681-8871,pbwakv@gmail.com,,US,AL0000104,CWS,L,SWP,6255,2085,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,3b98f8b68688f21213d18cc1ca43db8e,2026-03-25 14:39:55,2026-03-25 14:39:55,1
39,"SNEAD WATER WORKS, TOWN OF",,SNEAD,AL,35952,205-459-0059,,,US,AL0000108,CWS,L,GW,6111,2037,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,038d06a01cba2617aa5fe1457e91f4b3,2026-03-25 14:39:55,2026-03-25 14:39:55,1
40,MIDWAY WATER WORKS,32868 HWY 82,MIDWAY,AL,36053-0036,334-529-3261,townofmidway@gmail.com,,US,AL0000116,CWS,L,GW,867,289,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,9faf931e97562411968921bdfa419c2d,2026-03-25 14:39:55,2026-03-25 14:39:55,1
41,SOUTH BULLOCK COUNTY WATER AUTHORITY,,MONTGOMERY,AL,36124,,brent.moffett@dixie.coop,,US,AL0000117,CWS,L,GW,8601,2825,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,df2a0a19c84ea59ced4af10272d95d7e,2026-03-25 14:39:55,2026-03-25 14:39:55,1
42,UNION SPRINGS UTIL BOARD,,UNION SPRINGS,AL,36089,,justin.smith@inframark.com,,US,AL0000118,CWS,L,GW,3945,1315,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,c14cd70b7cfe9175819a906c0d7183bb,2026-03-25 14:39:55,2026-03-25 14:39:55,1
43,"NECTAR, TOWN OF",,CLEVELAND,AL,35049,,,,US,AL0000122,CWS,L,SWP,3288,1096,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,48727de7a9f2645352827b8c059f163f,2026-03-25 14:39:55,2026-03-25 14:39:55,1
44,"GEORGIANA, THE WW&SB OF THE CITY OF",,GEORGIANA,AL,36033,334-376-2555,,,US,AL0000123,CWS,L,GW,2889,963,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,4104716549e055b3ad025da2083b2a58,2026-03-25 14:39:55,2026-03-25 14:39:55,1
45,GREENVILLE WATER WORKS,"HON. DEXTER MCCLENDON, MAYOR",GREENVILLE,AL,36037,334-382-6661,mayor@cityofgreenville.com,,US,AL0000125,CWS,L,GW,9336,3112,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.576924+00:00,20260325_143907,cb2cd75ab7f1f68cf95cd9787ab80472,2026-03-25 14:39:55,2026-03-25 14:39:55,1
46,MCKENZIE WATER BOARD,,MCKENZIE,AL,36456,334-374-2311,lodomjr@hotmail.com,,US,AL0000128,CWS,L,GW,1170,390,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.577929+00:00,20260325_143907,3254013fd9aade9766e9ee3de8943a8b,2026-03-25 14:39:55,2026-03-25 14:39:55,1
47,CALHOUN COUNTY WATER AUTHORITY,,ALEXANDRIA,AL,36250,256-820-3940,,,US,AL0000131,CWS,L,SWP,32796,10932,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.577929+00:00,20260325_143907,a488a8ea09eb116b0fe136c3299e0f5b,2026-03-25 14:39:55,2026-03-25 14:39:55,1
48,"ANNISTON ALABAMA, THE WWSB OF THE CITY O",,ANNISTON,AL,36202,256-241-5005,eturner@awwsb.org,,US,AL0000133,CWS,L,SW,56646,18882,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.577929+00:00,20260325_143907,037eb88cfbc8aa6d87122b8b32708c5b,2026-03-25 14:39:55,2026-03-25 14:39:55,1
49,HOBSON CITY WATER SYSTEM,715 Martin Luther King Jr. Drive,HOBSON CITY,AL,36201,256-831-4940,hobsoncityhall@bellsouth.net,,US,AL0000149,CWS,L,SWP,633,211,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.577929+00:00,20260325_143907,c0822391426fef51cc7c88090c7d5027,2026-03-25 14:39:55,2026-03-25 14:39:55,1
50,"JACKSONVILLE WATER WORKS, GAS AND SEWER",,JACKSONVILLE,AL,36265-2914,256-435-7657,,,US,AL0000154,CWS,L,SWP,14217,4739,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.577929+00:00,20260325_143907,eb0195ea30e22b1bf1571e1c524eaec2,2026-03-25 14:39:55,2026-03-25 14:39:55,1
51,OHATCHEE WATER SYSTEM,,OHATCHEE,AL,36271,256-892-3232,mayorbaswell@townofohatchee.com,,US,AL0000161,CWS,L,GWP,1680,560,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,e20b08f90ff822388abc6ec374b23687,2026-03-25 14:39:55,2026-03-25 14:39:55,1
52,OXFORD WATER WORKS & SEWER BOARD,,OXFORD,AL,36203,256-831-5618,wlivingston@oxfordwater.com,,US,AL0000162,CWS,L,SW,29556,9852,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,a8744d82009a7a7d44669097f711c6e6,2026-03-25 14:39:55,2026-03-25 14:39:55,1
53,PIEDMONT UTILITIES BOARD,109 North Center Ave,PIEDMONT,AL,36272,256-447-3560,abwatts@piedmontcity.org,,US,AL0000164,CWS,L,SW,8073,2691,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,259068d204aada745018f683274b849a,2026-03-25 14:39:55,2026-03-25 14:39:55,1
54,"WEAVER, CITY 0F",,WEAVER,AL,36277,256-820-1121,jingram@weaveral.gov,,US,AL0000168,CWS,L,GW,6591,2197,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,b5e2094b9e819496445fb8c3af78e0ed,2026-03-25 14:39:55,2026-03-25 14:39:55,1
55,EAST ALABAMA WATER & FIRE PRO DISTRICT,,VALLEY,AL,36854,334-756-7150,t.segrest@eawsfd.com,,US,AL0000174,CWS,L,SWP,17532,5844,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,e14cfb589df5d83677214511d92c9161,2026-03-25 14:39:55,2026-03-25 14:39:55,1
56,HUGULEY WATER AUTHORITY,,LANETT,AL,36863,334-576-2126,swindsor@knology.net,,US,AL0000177,CWS,L,SWP,6795,2265,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,0f36f315caa421bbef171073e707f58b,2026-03-25 14:39:55,2026-03-25 14:39:55,1
57,LAFAYETTE WATER WORKS,,LAFAYETTE,AL,36862,,,,US,AL0000178,CWS,L,SW,4047,1349,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.578929+00:00,20260325_143907,90d88c8ceec7fb7dc9e91b4c006371c7,2026-03-25 14:39:55,2026-03-25 14:39:55,1
58,LANETT WATER WORKS,,LANETT,AL,36863,334-644-5200,,,US,AL0000179,CWS,L,SWP,7152,2384,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,4a4e53b8de7f281ab9452bfd25444383,2026-03-25 14:39:55,2026-03-25 14:39:55,1
59,BEULAH UTILITIES DISTRICT,5320 Lee County Rd. 270,VALLEY,AL,36854,,,,US,AL0000180,CWS,L,SWP,10389,3463,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,5eff2fe867fe932cc34269f339acbac7,2026-03-25 14:39:55,2026-03-25 14:39:55,1
60,CHATTAHOOCHEE VALLEY WATER SUPPLY DIST,,LANETT,AL,36863,334-644-3777,,,US,AL0000184,CWS,L,SW,32,3,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,e41bc8dcedec46a4a9d38a3c2c0d66e9,2026-03-25 14:39:55,2026-03-25 14:39:55,1
61,CEDAR BLUFF UTILITIES BOARD,P O Box 306,CEDAR BLUFF,AL,35959,256-779-6359,mysis215@gmail.com,,US,AL0000187,CWS,L,SWP,4875,1625,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,46d7c0c93277e6350e6f2b0b1912a15c,2026-03-25 14:39:55,2026-03-25 14:39:55,1
62,CENTRE WATER & SEWER BOARD,130 South River Street,CENTRE,AL,35960,256-927-3281,centrewaterplant@tds.net,,US,AL0000188,CWS,L,SW,7050,2350,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,7fbfde3006d14b787e1e16f6aa452c21,2026-03-25 14:39:55,2026-03-25 14:39:55,1
63,CHEROKEE COUNTY WATER AUTHORITY,,CENTRE,AL,35960,256-927-8348,office@cherokeewateral.com,,US,AL0000189,CWS,L,GW,11013,3671,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,bb45a8dca97307accac4303fb29925fa,2026-03-25 14:39:55,2026-03-25 14:39:55,1
64,CLANTON WATER DEPARTMENT,,CLANTON,AL,35045,205-755-6840,shiggins@clantonal.gov,,US,AL0000213,CWS,L,SW,13500,4500,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,c33a45121fe526f8370806095352b835,2026-03-25 14:39:55,2026-03-25 14:39:55,1
65,JEMISON WATER WORKS,,JEMISON,AL,35085,205-688-4492,jemisonmaintenance@gmail.com,,US,AL0000219,CWS,L,GWP,4365,1455,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,30ed126300514e9404fe785dbca6d042,2026-03-25 14:39:55,2026-03-25 14:39:55,1
66,MAPLESVILLE WATER WORKS,,MAPLESVILLE,AL,36750,334-366-2407,,,US,AL0000221,CWS,L,GWP,1119,373,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,9b250bdf31da8bd70fa138e4398c3063,2026-03-25 14:39:55,2026-03-25 14:39:55,1
67,THORSBY WATER WORKS BOARD,PD=21060 US Hwy 31 / TH=20688 US Hwy 31,THORSBY,AL,35171,205-646-3575,rhhight@gmail.com,,US,AL0000229,CWS,L,GW,3579,1193,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,70a084ba2c4de4be22b39a1da0078cdd,2026-03-25 14:39:55,2026-03-25 14:39:55,1
68,BUTLER WATER SYSTEM,P.O. Box 455,BUTLER,AL,36915,205-459-3795,: mayorwilliams@tds.net,,US,AL0000232,CWS,L,GW,4590,1532,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,e417faa6f7048b571df473f78ae35c61,2026-03-25 14:39:55,2026-03-25 14:39:55,1
69,"CHOCTAW-EDNA WATER AUTHORITY, INC.",P.O. Box 220,PENNINGTON,AL,36916,205-654-2974,cewa2018@yahoo.com,,US,AL0000233,CWS,L,GWP,819,273,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,0474b551ac522f10e42b39392be94aa1,2026-03-25 14:39:55,2026-03-25 14:39:55,1
