id,company_name,address,city,state,zip_code,country,phone,email,website,member_type,net_zero_qualified,renomark,province,local_hba,member_url,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
11,Automatic Switching Inc.,391 Edgeley Boulevard,Unit 12,ON,,Canada,(905) 669-6310,,,Trade Contractor,False,False,ON,,https://hub.chba.ca/member-directory/Details/automatic-switching-inc-2945708,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,72281f09e5d0d465eb17e613e5a8d896,2026-03-26 09:31:32,2026-03-26 09:31:32,1
12,Acera Insurance,100-1500 Hardy Street,Kelowna,BC,,Canada,(250) 860-2426,,,,False,False,BC,,https://hub.chba.ca/member-directory/Details/acera-insurance-3272386,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,3d70c77efe5f4508cf054bbce3f68417,2026-03-26 09:31:32,2026-03-26 09:31:32,1
13,Alterra Building Solutions,35 Oberon Street,St. John's,NL,,Canada,,,,Renovator,False,False,NL,,https://hub.chba.ca/member-directory/Details/alterra-building-solutions-3561454,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,c5825027fc776895f158fc8b14bbfbc3,2026-03-26 09:31:32,2026-03-26 09:31:32,1
14,Artistic Stairs Ltd.,3504 80 Avenue SE,Calgary,AB,,Canada,(403) 279-5898,,,Trade Contractor,False,False,AB,,https://hub.chba.ca/member-directory/Details/artistic-stairs-ltd-2945759,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,221376c4ccde967b9b055f2148dd565d,2026-03-26 09:31:32,2026-03-26 09:31:32,1
15,Able Concrete Ltd.,"PO Box 18 Grp 524 RR5, 986 Redonda Street",Winnipeg,MB,,Canada,(204) 223-5800,,,Supplier,False,False,MB,,https://hub.chba.ca/member-directory/Details/able-concrete-ltd-3197372,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,dad3af9477cbc91a2ea82dd38d8e467b,2026-03-26 09:31:32,2026-03-26 09:31:32,1
16,Aspen Homes Ltd.,,Box 544,SK,,Canada,(306) 789-0088,,,Builder,False,False,SK,,https://hub.chba.ca/member-directory/Details/aspen-homes-ltd-3561442,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,fdf454442688fb9c98bdc4deb1d9c683,2026-03-26 09:31:32,2026-03-26 09:31:32,1
17,A & G Construction Ltd.,253231 Range Road 282,Rocky View County,AB,,Canada,(403) 605-2074,,,Trade Contractor,False,False,AB,,https://hub.chba.ca/member-directory/Details/a-g-construction-ltd-2945994,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,77f4da8922683932ed119de4d654d004,2026-03-26 09:31:32,2026-03-26 09:31:32,1
18,Andre's T.V. Sales & Service Ltd.,2153 Springfield Road,Kelowna,BC,,Canada,(250) 861-4101,,,Supplier,False,False,BC,,https://hub.chba.ca/member-directory/Details/andre-s-t-v-sales-service-ltd-3272725,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,e73f3ab7ed1ee2ce65ae1165973d18ba,2026-03-26 09:31:32,2026-03-26 09:31:32,1
19,Alliance Renovations Ltd.,5149 Country Hills Boulevard NW,Box 424 234,AB,,Canada,(403) 228-2000,,,Renovator,False,True,AB,,https://hub.chba.ca/member-directory/Details/alliance-renovations-ltd-3561459,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,97e62a27c8bf85986a3a0584c77a2825,2026-03-26 09:31:32,2026-03-26 09:31:32,1
20,AAA Doors Ltd.,135-6424 36 Street NE,Calgary,AB,,Canada,(403) 291-6711,,,Trade Contractor,False,False,AB,,https://hub.chba.ca/member-directory/Details/aaa-doors-ltd-2945975,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,1d4c9f57dc23aeba17d5cedbf3c9bbda,2026-03-26 09:31:32,2026-03-26 09:31:32,1
21,Air-Direct Inc.,,Calgary,AB,,Canada,,,,Supplier,False,False,AB,,https://hub.chba.ca/member-directory/Details/air-direct-inc-4150585,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,c3679e99169659a40c976fc4669c9755,2026-03-26 09:31:32,2026-03-26 09:31:32,1
22,Aardvark Builders,2127 St. George Avenue,Saskatoon,SK,,Canada,(306) 202-8480,,,,False,False,SK,,https://hub.chba.ca/member-directory/Details/aardvark-builders-3404870,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,eba6adde4c3a13ef197efd6e16427791,2026-03-26 09:31:32,2026-03-26 09:31:32,1
23,ATI Construction Ltd.,"#107, 6180 Cooney Road",Richmond,BC,,Canada,(604) 207-0399,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/ati-construction-ltd-3563677,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,f02e2e85faa022ed871c013a367cf37c,2026-03-26 09:31:32,2026-03-26 09:31:32,1
24,Alyza Enterprises Inc.,"#1480, 885 West Georgia Street",Vancouver,BC,,Canada,(604) 630-1011,,,Builder,False,True,BC,,https://hub.chba.ca/member-directory/Details/alyza-enterprises-inc-3562725,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,033355d4c81b93354477fb1809f067bb,2026-03-26 09:31:32,2026-03-26 09:31:32,1
25,ADEX - Architectural Coatings,"6900 - 54 Street SE, Suite 126",Calgary,AB,,Canada,(604) 202-8958,,,,False,False,AB,,https://hub.chba.ca/member-directory/Details/adex-architectural-coatings-3563510,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,22d3f6c582cf5f44f29a1aeece7e0160,2026-03-26 09:31:32,2026-03-26 09:31:32,1
26,Ashtech Granite Ltd.,201 – 927 Brunette Avenue,Coquitlam,BC,,Canada,(604) 517-8051,,,,False,False,BC,,https://hub.chba.ca/member-directory/Details/ashtech-granite-ltd-3562774,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.175553+00:00,20260326_092850,9cb39dfd79409f6a503c0c216c3987a3,2026-03-26 09:31:32,2026-03-26 09:31:32,1
27,Access Communications,2250 Park St.,Regina,SK,,Canada,(306) 569-2225,,,,False,False,SK,,https://hub.chba.ca/member-directory/Details/access-communications-2945956,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,535df5a2dac9edf725637c116c559d3d,2026-03-26 09:31:32,2026-03-26 09:31:32,1
28,ARK Electrical,389 Paris Road,BRANTFORD,ON,,Canada,(519) 805-3200,,,Trade Contractor,False,False,ON,,https://hub.chba.ca/member-directory/Details/ark-electrical-4246907,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,5698b4357e238cec7d280d22854ddfa6,2026-03-26 09:31:32,2026-03-26 09:31:32,1
29,Alair Homes - Toronto (Aurora),,360 Industrial Parkway S Unit 7,ON,,Canada,(416) 526-7710,,,Renovator,False,True,ON,,https://hub.chba.ca/member-directory/Details/alair-homes-toronto-aurora-3941844,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,da66bf77fdc7049da69df86b9a0a94f6,2026-03-26 09:31:32,2026-03-26 09:31:32,1
30,Align West Homes,,PO Box 21139 Orchard Park,BC,,Canada,(250) 826-2821,,,Builder,False,True,BC,,https://hub.chba.ca/member-directory/Details/align-west-homes-3562497,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,89dabed8f72965a923a29076981a7e6b,2026-03-26 09:31:32,2026-03-26 09:31:32,1
31,Averton Homes (Alberta) Inc.,"#204, 10420 - 122 Street",Edmonton,AB,,Canada,(780) 481-3700,,,Builder,False,False,AB,,https://hub.chba.ca/member-directory/Details/averton-homes-alberta-inc-2945700,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,0252e2326417a374c69a6fd305d1071b,2026-03-26 09:31:32,2026-03-26 09:31:32,1
32,Al-Terra Group Ltd.,Suite 120 - 6807 Railway Street SE,Calgary,AB,,Canada,(403) 640-0900,,,,False,False,AB,,https://hub.chba.ca/member-directory/Details/al-terra-group-ltd-2947923,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,1132da4a86071813dfc4c7dd4b1a9817,2026-03-26 09:31:32,2026-03-26 09:31:32,1
33,A.R.T. Construction,3315 Wells Ave,Saskatoon,SK,,Canada,,,,Builder,False,False,SK,,https://hub.chba.ca/member-directory/Details/a-r-t-construction-3323693,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,303356296e8c4e5991fb44ca297de8eb,2026-03-26 09:31:32,2026-03-26 09:31:32,1
34,Anthem Properties Group Ltd.,1055 Dunsmuir Street,"Suite 1100, Bentall IV, Box 49200",BC,,Canada,(604) 689-3040,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/anthem-properties-group-ltd-3562739,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,1a65d63808f8695803f7e138672d158c,2026-03-26 09:31:32,2026-03-26 09:31:32,1
35,Autograph Group,10178 106 Street NW,Edmonton,AB,,Canada,(780) 784-5909,,,Developer,False,False,AB,,https://hub.chba.ca/member-directory/Details/autograph-group-2946746,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,433f09b55e99fca686cb01a2a4c7440e,2026-03-26 09:31:32,2026-03-26 09:31:32,1
36,A.W. Kennedy Construction Inc. dba Kennedy Construction Inc.,,201 - 350 Esplanade East,BC,,Canada,(604) 986-3244,,,Builder,False,True,BC,,https://hub.chba.ca/member-directory/Details/a-w-kennedy-construction-inc-dba-kennedy-construction-inc-3562699,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,288b53ff1796134033ed085409433bbc,2026-03-26 09:31:32,2026-03-26 09:31:32,1
37,ADS,,100 Gerald Parkway,ON,,Canada,(519) 465-9958,,,Supplier,False,False,ON,,https://hub.chba.ca/member-directory/Details/ads-4706390,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,6292131a524517df4b3834bf1529e0cf,2026-03-26 09:31:32,2026-03-26 09:31:32,1
38,ACE Plumbing & Heating,2075 Pier Mac Way,Kelowna,BC,,Canada,(250) 861-6696,,,Trade Contractor,False,False,BC,,https://hub.chba.ca/member-directory/Details/ace-plumbing-heating-3272332,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,feb49c602075eaa16bde83a85f76b9f0,2026-03-26 09:31:32,2026-03-26 09:31:32,1
39,A & B Bulat Homes Limited,"11 Gifford Street, Suite 202",Nepean,ON,,Canada,(613) 723-1008,,,Builder,False,False,ON,,https://hub.chba.ca/member-directory/Details/a-b-bulat-homes-limited-3562215,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,1ce59554f610fe63460b6b820f4028c2,2026-03-26 09:31:32,2026-03-26 09:31:32,1
40,Auburn Homes Inc.,"700 Richmond St, Unit410",London,ON,,Canada,(519) 434-1808,,,Developer,False,False,ON,,https://hub.chba.ca/member-directory/Details/auburn-homes-inc-3274265,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,6a5c3453b8fbbeabed4e47dff2595856,2026-03-26 09:31:32,2026-03-26 09:31:32,1
41,ADHOC STUDIO,23 Lesmill Road,Suite 412,ON,,Canada,,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/adhoc-studio-2945940,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,92d3feeb256faa86fcb3576c180571fc,2026-03-26 09:31:32,2026-03-26 09:31:32,1
42,Avanti CPA,261A Victoria Street,Kamloops,BC,,Canada,(250) 372-7655,,,,False,False,BC,,https://hub.chba.ca/member-directory/Details/avanti-cpa-3271883,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,a46f17aed59574b2b20aea381da93383,2026-03-26 09:31:32,2026-03-26 09:31:32,1
43,Alberta Roof Experts Ltd.,,37247 RR 264,AB,,Canada,(403) 872-7033,,,,False,False,AB,,https://hub.chba.ca/member-directory/Details/alberta-roof-experts-ltd-4144241,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,4ac748ab29cc21a3d2bd4e53e9c643e2,2026-03-26 09:31:32,2026-03-26 09:31:32,1
44,Andrin Limited,26 Lesmill Road,Unit 3,ON,,Canada,(416) 733-3128,,,Developer,False,False,ON,,https://hub.chba.ca/member-directory/Details/andrin-limited-2945815,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,f57cfa63a9274458ac202056c8a1bc01,2026-03-26 09:31:32,2026-03-26 09:31:32,1
45,Art-Metal Workshop Inc.,50 Paxman Road,Suite 17,ON,,Canada,(416) 848-4588,,,Supplier,False,False,ON,,https://hub.chba.ca/member-directory/Details/art-metal-workshop-inc-4067209,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,0cfd90e218cd53b9e75a8778bfedc4a9,2026-03-26 09:31:32,2026-03-26 09:31:32,1
46,AcuTruss Industries Ltd.,1913 Kent Rd.,Kelowna,BC,,Canada,(250) 860-6667,,,Supplier,False,False,BC,,https://hub.chba.ca/member-directory/Details/acutruss-industries-ltd-3272354,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,ea1d3e14a96bad887dab02b357cd7aa9,2026-03-26 09:31:32,2026-03-26 09:31:32,1
47,ARW Development Corporation,"199 Bay Street, Suite 2900 P.O. Box 459",Toronto,ON,,Canada,(416) 861-8800,,,Developer,False,False,ON,,https://hub.chba.ca/member-directory/Details/arw-development-corporation-2945755,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,b9cfb28427af3a8eba081e67240bc478,2026-03-26 09:31:32,2026-03-26 09:31:32,1
48,Avid Ratings Canada,,P.O. Box 6212,ON,,Canada,(416) 619-4493,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/avid-ratings-canada-3323756,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,9e9923ce0e9036ef055b2b9570f87a84,2026-03-26 09:31:32,2026-03-26 09:31:32,1
49,Autobox Garage Interiors Ltd,880 - 60th Street East,Saskatoon,SK,,Canada,(306) 933-4320,,,Supplier,False,False,SK,,https://hub.chba.ca/member-directory/Details/autobox-garage-interiors-ltd-3323805,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,10dcc9413334ef4030411837f5fab384,2026-03-26 09:31:32,2026-03-26 09:31:32,1
50,AAG Services Construction,"#202, 828 Harbourside Drive",North Vancouver,BC,,Canada,(778) 872-1467,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/aag-services-construction-3958252,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,560456385ca23f1c6e44bc81824a9fc4,2026-03-26 09:31:32,2026-03-26 09:31:32,1
51,Aberdeen Interiors,76 Mountain Ave,Hamilton,ON,,Canada,(905) 520-9177,,,Renovator,False,False,ON,,https://hub.chba.ca/member-directory/Details/aberdeen-interiors-3198023,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,3f5920c968cc7e8ef03e76919c64c2e1,2026-03-26 09:31:32,2026-03-26 09:31:32,1
52,Arriscraft -Canada Brick,875 Speedsville Road,Cambridge,ON,,Canada,(519) 494-0381,,,Supplier,False,False,ON,,https://hub.chba.ca/member-directory/Details/arriscraft-canada-brick-3198316,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,14f9f0e9d50d4a45c398646b40ac8bf0,2026-03-26 09:31:32,2026-03-26 09:31:32,1
53,Asanti Development Ltd.,#121 - 1087 East Kent Avenue North,Vancouver,BC,,Canada,(604) 537-5688,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/asanti-development-ltd-3562758,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.176554+00:00,20260326_092850,13556556dd8e6c4d0da71fb2fc866a83,2026-03-26 09:31:32,2026-03-26 09:31:32,1
54,Acera Insurance,"#1 Tudor Village, 1315 Summit Drive",Kamloops,BC,,Canada,(250) 828-2135,,,,False,False,BC,,https://hub.chba.ca/member-directory/Details/acera-insurance-3271922,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,4c12520b9721f7737619f92a9c09f488,2026-03-26 09:31:32,2026-03-26 09:31:32,1
55,Alloy Homes Incorporated,301 919 Centre Street N,Calgary,AB,,Canada,(403) 264-3667,,,Builder,False,False,AB,,https://hub.chba.ca/member-directory/Details/alloy-homes-incorporated-3561457,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,e00e630aeb2e0207efb966c8e9eefb19,2026-03-26 09:31:32,2026-03-26 09:31:32,1
56,ATCO Gas,7590 Edgar Industrial Drive,Red Deer,AB,,Canada,(403) 357-5232,,,,False,False,AB,,https://hub.chba.ca/member-directory/Details/atco-gas-2945730,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,34a69036584e2e2e5e907db6eb0bb277,2026-03-26 09:31:32,2026-03-26 09:31:32,1
57,Alair Enterprises BC Ltd.,96 Wallace St,Nanaimo,BC,,Canada,(250) 754-5500,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/alair-enterprises-bc-ltd-3562572,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,c3358ddf63abcbb25bb1171e4defbd2b,2026-03-26 09:31:32,2026-03-26 09:31:32,1
58,Andersen Smart Homes,7 O’Dea Place,St. John’s,NL,,Canada,(709) 771-2390,,,,False,False,NL,,https://hub.chba.ca/member-directory/Details/andersen-smart-homes-4012973,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,37468584ab113338e4814fa6e057dda8,2026-03-26 09:31:32,2026-03-26 09:31:32,1
59,Altus Group,33 Yonge Street,Suite 500,ON,,Canada,(416) 641-9500,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/altus-group-2945835,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,f853c107eb73c981f5cc736f904545c9,2026-03-26 09:31:32,2026-03-26 09:31:32,1
60,Abbey Road Construction Inc.,237 Arvin Avenue,Stoney Creek,ON,,Canada,(905) 547-9727,,,Builder,False,False,ON,,https://hub.chba.ca/member-directory/Details/abbey-road-construction-inc-3198019,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,88d9ed8fbb9c7e3ad81183e5fe4aff02,2026-03-26 09:31:32,2026-03-26 09:31:32,1
61,AGM Surveying - Engineering,3515 White Oak Road,London,ON,,Canada,(519) 685-5300,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/agm-surveying-engineering-3274276,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,110b3b82bcce502e28fe1b5aea41c915,2026-03-26 09:31:32,2026-03-26 09:31:32,1
62,Archway Developments Ltd.,3009 23 Street NE,Calgary,AB,,Canada,(403) 708-1546,,,Builder,False,False,AB,,https://hub.chba.ca/member-directory/Details/archway-developments-ltd-4416212,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,0b9bcbf90eabd15914b32f01495594a4,2026-03-26 09:31:32,2026-03-26 09:31:32,1
63,Airfoam Industries Ltd.,19402 – 56 Avenue,Surrey,BC,,Canada,(604) 534-8626,,,Supplier,False,False,BC,,https://hub.chba.ca/member-directory/Details/airfoam-industries-ltd-3563022,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,24bea31a22749e93c59190845583d3f8,2026-03-26 09:31:32,2026-03-26 09:31:32,1
64,As Good As New Painting Co,2049 Soyers Lake Rd.,Minden,ON,,Canada,(705) 935-1848,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/as-good-as-new-painting-co-3771902,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,2b29ea62f899814cfd5a08290375c8a4,2026-03-26 09:31:32,2026-03-26 09:31:32,1
65,Armstrong Planning & Project Management,1600 Steeles Avenue West,Suite 318,ON,,Canada,(416) 444-3300,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/armstrong-planning-project-management-2945773,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,b454e4150ddce0120cf2d64d7f2a5367,2026-03-26 09:31:32,2026-03-26 09:31:32,1
66,Artas Engineering & Associates Inc.,413 Hibernia Street,Stratford,ON,,Canada,(226) 880-1399,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/artas-engineering-associates-inc-3983080,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,474efaa6321f77dd8eff5bc11a2f2232,2026-03-26 09:31:32,2026-03-26 09:31:32,1
67,Ambassador Dearie HVAC Inc.,,101 Innes Parkway,ON,,Canada,(613) 741-9595,,,Supplier,False,False,ON,,https://hub.chba.ca/member-directory/Details/ambassador-dearie-hvac-inc-3562288,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,ac031383fd95ab7960db7254d9508877,2026-03-26 09:31:32,2026-03-26 09:31:32,1
68,Aluminium Depot Gatineau - Ottawa,,1623 Amtec,QC,,Canada,(819) 663-5002,,,,False,False,QC,,https://hub.chba.ca/member-directory/Details/aluminium-depot-gatineau-ottawa-3562081,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,6f6f24f75713590bf8a56b251e0a850b,2026-03-26 09:31:32,2026-03-26 09:31:32,1
69,Allnorth Consultants Ltd.,,300 8 Manning Close NE,AB,,Canada,(403) 717-2370,,,,False,False,AB,,https://hub.chba.ca/member-directory/Details/allnorth-consultants-ltd-2945862,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,7ef027604a48d142fb505a157276fd45,2026-03-26 09:31:32,2026-03-26 09:31:32,1
70,Agassiz Shore Developments,25 Penner Drive,Blumenort,MB,,Canada,(204) 326-1341,,,Builder,False,False,MB,,https://hub.chba.ca/member-directory/Details/agassiz-shore-developments-3404835,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.177554+00:00,20260326_092850,4589bc87f5d4586ecd61217ff3275113,2026-03-26 09:31:32,2026-03-26 09:31:32,1
