id,company_name,address,city,state,zip_code,phone,website,email,nfda_member,green_funeral_cert,pursuit_of_excellence,cremation_society,services_offered,ownership_type,director_name,year_established,listing_url,nfda_profile_id,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
15,Alpine Memorial Funeral Home,209 W Sul Ross Ave,Alpine,,79830-4622,432-837-2222,http://www.alpinememorialfuneralhome.com,,Yes,No,No,No,,Independent,,,,351cf4cf-91b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:52:30.850937+00:00,20260326_045221,5966ae8ca3532cf6bb84fe50db4f9f59,2026-03-26 04:52:30,2026-03-26 04:52:30,1
16,Anderson-Bethany Funeral Home & Crematory,2609 S Main St,Roswell,,88203-4060,575-622-5888,http://www.andersonbethany.com,,Yes,No,No,No,,Independent,,,,7d83c32d-91b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.707897+00:00,20260326_045339,42dd492c4036416738cba11987a0722f,2026-03-26 04:52:30,2026-03-26 04:57:14,0
17,Anderson-Burris Funeral Home & Crematory,3002 N Van Buren St,Enid,,73703-1732,580-233-2700,http://www.andersonburris.com,,Yes,No,Yes,No,,Independent,,,,f1fec62f-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.703899+00:00,20260326_045339,e9bf6f8edbcf8adaa9c685053f85dc8b,2026-03-26 04:52:30,2026-03-26 04:57:14,0
18,Angel Funeral Home,2209 S Arthur St,Amarillo,,79103-1117,806-373-8585,http://www.angelfuneral.com,,Yes,No,No,No,,Independent,,,,0c240996-46ee-dd11-aba5-0017a4489a15,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.703899+00:00,20260326_045339,672d8c5e74fd5b9a71c93be45444ed99,2026-03-26 04:52:30,2026-03-26 04:57:14,0
19,Angelus Funeral Home,1100 E Houston St,Beeville,,78102-5261,361-358-51555,http://www.angelusfuneralhome.com,,Yes,No,No,No,,Independent,,,,f03cdb50-96b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,32a4c84e2f24acaab991c9891a72c41d,2026-03-26 04:52:30,2026-03-26 04:57:14,0
20,Aria Cremation Service & Funeral Home,1820 N Belt Line Rd,Irving,,75061-1510,972-607-4400,http://www.ariacremation.com,,Yes,No,No,No,Cremation,Independent,,,,d60db8fb-8bee-e011-9a73-18a90577596c,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,d35f0354c64a70c48f5dc2a38fd6f070,2026-03-26 04:52:30,2026-03-26 04:57:14,0
21,Aria Cremation Service and Funeral Home,19310 Preston Rd,Dallas,,75252-2439,214-306-6700,,,Yes,No,No,No,Cremation,Independent,,,,93a1f7b5-7070-e211-8b73-18a90577596c,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,05583db26c33205dd735655324679414,2026-03-26 04:52:30,2026-03-26 04:57:14,0
22,Aria Cremation Service and Funeral Home,10116 E Northwest Hwy,Dallas,,75238-4406,214-340-8008,http://www.ariacremation.com,,Yes,No,No,No,Cremation,Independent,,,,408ec28c-7170-e211-8b73-18a90577596c,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,c5fbc595e29ce87ea5a1cecd822599a7,2026-03-26 04:52:30,2026-03-26 04:57:14,0
23,Asa Smith Funeral Service,2039 Tim Holt Dr,Harrah,,73045-9219,405-454-2201,https://www.asasmith.net,,Yes,No,No,No,,Independent,,,,2420eec3-91b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,b1f58e0d85cbd2a396d4a16db79cf690,2026-03-26 04:52:30,2026-03-26 04:57:14,0
24,Ashby Funeral Home,108 W Narroway St,Benton,,72015-3778,501-778-2544,http://www.ashbyfuneralhome.com,,Yes,No,No,No,,Independent,,,,a75a96a2-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.626903+00:00,20260326_045339,698e21757c896ef26401c1262684e7f2,2026-03-26 04:52:30,2026-03-26 04:57:13,0
25,Aulds Funeral Home,7849 E Kings Hwy,Shreveport,,71115-2107,318-797-8124,http://www.auldsfuneral.com,,Yes,No,No,No,,Independent,,,,1231db0b-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.636896+00:00,20260326_045339,94586ce0b323376b451bb7637412e1fb,2026-03-26 04:52:30,2026-03-26 04:57:13,0
26,"Baalmann Mortuary, Inc.",190 S. Franklin Ave,Colby,,67701,+1 (785) 462-2331,http://www.baalmannmortuary.com,,Yes,No,No,No,,Independent,,,,a20c899c-cc48-e011-9513-18a90577596c,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.704896+00:00,20260326_045339,604908ebd4b379b9b27d2ccc9437ec01,2026-03-26 04:52:30,2026-03-26 04:57:14,0
27,Baca's Funeral Chapel,300 E Boutz Rd,Las Cruces,,88005-3255,575-527-2222,https://www.bacasfuneralchapelslascruces.com,,Yes,No,No,No,,Independent,,,,6606e335-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.707897+00:00,20260326_045339,88aa0ec747cc611d63367c0b3afb6ace,2026-03-26 04:52:30,2026-03-26 04:57:14,0
28,Backstrom-Pyeatte Funeral Home,", ,",,,,479-756-2010,http://www.backstrom-pyeatte.com/,,Yes,No,No,No,,Independent,,,,5caeb68b-90b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.626903+00:00,20260326_045339,56cf8de3614178041d6000129d26af8a,2026-03-26 04:52:30,2026-03-26 04:57:13,0
29,Backstrom-Pyeatte Funeral Home,1401 E Main St,Siloam Springs,,72761-2984,479-524-3121,http://www.backstrom-pyeatte.com,,Yes,No,No,No,,Independent,,,,6efc176b-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,dca99f6baf0ca65ba9f0e6a70ad493cf,2026-03-26 04:52:30,2026-03-26 04:57:13,0
30,Bailey & Foster Funeral Home,207 S Magnolia St,Palestine,,75801-3527,903-729-2248,http://www.baileyandfosterfuneralhome.com,,Yes,No,No,No,,Independent,,,,980394ba-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,39b6df37d945b653c4fd20f10fdeb74e,2026-03-26 04:52:30,2026-03-26 04:57:14,0
31,Bailey Mortuary Inc,4011 Highway 2 Alt,Haynesville,,71038-5121,318-624-0366,http://www.baileyfuneralhome.net,,Yes,No,No,No,,Independent,,,,f663eb41-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,56fee8c6a5f401dfd4adcc157598f526,2026-03-26 04:52:30,2026-03-26 04:57:13,0
32,Bailey Mortuary Inc,304 1st St NW,Springhill,,71075-2712,318-539-3555,http://www.baileyfuneralhome.net,,Yes,No,No,No,,Independent,,,,ed1df128-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,a9743652987d645d37e805a9a3ebc70a,2026-03-26 04:52:30,2026-03-26 04:57:13,0
33,Bailey Mortuary Inc,109 S Perrin St,Plain Dealing,,71064-4293,318-326-4258,http://www.baileyfuneralhome.net,,Yes,No,No,No,,Independent,,,,f01df128-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.636896+00:00,20260326_045339,34212236b2e14935741e7df293b5dccd,2026-03-26 04:52:30,2026-03-26 04:57:13,0
34,Baker Funeral Home - Valley Center,100 S Cedar Ave,Valley Center,,67147-2209,316-755-2731,http://www.bakerfhvc.com,,Yes,No,No,No,,Independent,,,,041af734-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,347bc4156639bc8080712bed286b0b1e,2026-03-26 04:52:30,2026-03-26 04:57:13,0
35,Baker Funeral Home - Wichita,6100 E Central Ave,Wichita,,67208-4244,316-612-1700,http://www.bakerfhwichita.com,,Yes,No,No,No,,Independent,,,,b27fee83-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,33eb36fa74e42a8e8d8de9a2cab91b8b,2026-03-26 04:52:30,2026-03-26 04:57:13,0
36,Baker Funeral Services,601 SE 36th St Ste 126,Newton,,67114-8770,316-283-8119,,,Yes,No,No,No,,Independent,,,,6c110ad8-4f8a-e211-a6c3-18a90577596c,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,046f02512cee5280cfa35ea07bada426,2026-03-26 04:52:30,2026-03-26 04:57:13,0
37,Baker Funeral Services - Peabody,114 N Sycamore St,Peabody,,66866-1050,620-983-2144,,,Yes,No,No,No,,Independent,,,,6fc58c8a-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,31afa794ef71ac0966dbe5d81df4c635,2026-03-26 04:52:30,2026-03-26 04:57:13,0
38,Bandera Funeral Chapel,1214 Mulberry Dr,Bandera,,78003,210-796-3922,https://www.grimesbandera.com,,Yes,No,No,No,,Independent,,,,b6500a7d-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,5448b1c2245156a2dbe4b8fae631a40b,2026-03-26 04:52:30,2026-03-26 04:57:14,0
39,Barnes-Friederich and Pope Funeral Home,1820 S Douglas Blvd,Midwest City,,73130-6224,405-733-2991,http://www.bfpfuneralhome.com,,Yes,No,No,No,,Independent,,,,751639ae-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,a181a22d51ef7bda7a901a2d31c215c1,2026-03-26 04:52:30,2026-03-26 04:57:14,0
40,Barnes-Friederich and Pope Funeral Home-Del City,305 S Sooner Rd,Midwest City,,73110-2046,405-677-9990,http://www.fordfuneral.com,,Yes,No,No,No,,Independent,,,,7453f5db-91b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,bd5f40a3a3229a1f71d9f88182d8b511,2026-03-26 04:52:30,2026-03-26 04:57:14,0
41,Bates Family Funeral Home,601 E Front St,De Kalb,,75559-1503,903-667-2009,http://www.batesfamilyfuneralhome.com,,Yes,No,Yes,No,,Independent,,,,00e9b28c-4e62-de11-a807-0017a4489a15,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,a87890bd5cc73f45077180b6d4e025c2,2026-03-26 04:52:30,2026-03-26 04:57:14,0
42,Bates-Cooper-Sloan Funeral Home LLP,2805 S Jefferson Ave,Mount Pleasant,,75455-8546,903-572-3621,https://www.batescoopersloanfuneralhome.com,,Yes,No,No,No,,Independent,,,,789cd698-96b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,5a0f919ad98eb322353f104e0b688425,2026-03-26 04:52:30,2026-03-26 04:57:14,0
43,Bates-Rolf Funeral Homes,502 S McCoy Blvd,New Boston,,75570-3405,903-628-2511,http://www.texarkanafuneralhome.com,,Yes,No,No,No,,Independent,,,,952c1353-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,ec201a97c8bf6310050bf897b88951c2,2026-03-26 04:52:30,2026-03-26 04:57:14,0
44,Bath-Naylor Funeral Home,611 S East Ave,Columbus,,66725-2105,620-429-4114,http://www.bathnaylor.com,,Yes,No,No,No,,Independent,,,,7b33e669-91b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,7d6234e5c8160755147b9125276fa3ce,2026-03-26 04:52:30,2026-03-26 04:57:13,0
45,Bath-Naylor Funeral Home,522 S Broadway St,Pittsburg,,66762-5302,620-231-4700,http://www.bathnaylor.com,,Yes,No,No,No,,Independent,,,,4bc58c8a-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,3dc9bfd562552e79427e85d95e389292,2026-03-26 04:52:30,2026-03-26 04:57:13,0
46,Bath-Naylor Funeral Home,104 W Main St,Weir,,66781-4345,620-396-8266,http://www.bathnaylor.com,,Yes,No,No,No,,Independent,,,,4ec58c8a-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,5bbc67354907660e235a0a65e556a8af,2026-03-26 04:52:30,2026-03-26 04:57:13,0
47,Baum-Carlock-Bumgardner Funeral Home,302 W Hubbard St,Mineral Wells,,76067-4843,940-325-4422,http://www.bcbfuneralhome.com,,Yes,No,No,No,,Independent,,,,ce0394ba-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,f45086847fb6b5b0e0d3c638a24b12b5,2026-03-26 04:52:30,2026-03-26 04:57:14,0
48,Bay Area Funeral Directors,5410 FM 1765,Texas City,,77591-4217,409-933-4300,https://www.bayareafuneraldirector.com/,,Yes,No,No,No,,Independent,,,,d4db7e26-f9d2-de11-9ee0-0017a4489a15,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,964470c927d4589b027e2415d517f240,2026-03-26 04:52:30,2026-03-26 04:57:14,0
49,Beasley Wood Funeral Home,611 Janssen Ave,Mena,,71953-3223,479-216-1856,http://www.beasleywoodfuneralhome.com/,,Yes,No,No,No,,Independent,,,,0836d186-96b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,d2e230d7159f1d1aeefddef3c18c4898,2026-03-26 04:52:30,2026-03-26 04:57:13,0
50,Becker-Rabon Funeral Home,1502 NW Fort Sill Blvd,Lawton,,73507-4043,580-353-3030,http://www.beckerfuneral.com,,Yes,No,No,No,,Independent,,,,46b89eae-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,ffc7fca76ad24ccb8394ade40c4889d1,2026-03-26 04:52:30,2026-03-26 04:57:14,0
51,Becker-Rabon Funeral Home of Snyder,622 E St,Snyder,,73566-1850,580-569-2400,http://beckerfuneral.com,,Yes,No,No,No,,Independent,,,,b34a65e3-8fb8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,0a9fcaa8557b9453f7ad251917e9855b,2026-03-26 04:52:30,2026-03-26 04:57:14,0
52,Beckwith Funeral Home,121 W Bramley,Jetmore,,67854,620-357-8331,http://www.beckwithmortuary.com,,Yes,No,No,No,,Independent,,,,455e9096-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.703899+00:00,20260326_045339,d7608e8d346311b62307b647f52a010e,2026-03-26 04:52:30,2026-03-26 04:57:14,0
53,Beckwith Mortuary,916 Main St,Larned,,67550-2533,620-285-2121,http://www.beckwithmortuary.com,,Yes,No,No,No,,Independent,,,,206b8790-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.703899+00:00,20260326_045339,d53d61e378a9e0ce3a063da04ca64f90,2026-03-26 04:52:30,2026-03-26 04:57:14,0
54,Bedene Funeral Home Inc,517 E Washington St,Arma,,66712-4098,620-347-4200,,,Yes,No,No,No,,Independent,,,,30c58c8a-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,6c01f9bbf42c43ad7984c6803184a09a,2026-03-26 04:52:30,2026-03-26 04:57:13,0
55,"Bella Vista Funeral Home & Crematory, Inc.",2258 Forest Hills Blvd,Bella Vista,,72715-3018,479-855-1611,https://www.meaningfulfunerals.net/home/index.cfm?action=public:main.default&fh_id=10793,,Yes,No,No,No,,Independent,,,,71fc176b-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,859c942632be4da7ad4b3d17bdd316d2,2026-03-26 04:52:30,2026-03-26 04:57:13,0
56,Bell-Cypert-Seale Funeral Home,3101 College Ave,Snyder,,79549-4130,325-573-5454,https://www.bellcypertseale.com,,Yes,No,No,No,,Independent,,,,51cc9bcc-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,37d881217657df5ef1bbe93749972191,2026-03-26 04:52:30,2026-03-26 04:57:14,0
57,Bellmead Funeral Home,809 La Clede St,Waco,,76705-2943,254-799-5701,https://www.bellmeadfuneral.com/,,Yes,No,No,No,,Independent,,,,e4cc9bcc-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,d9c9103a4a989eb3ce2ebecb845ff6af,2026-03-26 04:52:30,2026-03-26 04:57:14,0
58,Benton County Funeral Home,306 N 4th St,Rogers,,72756-3714,479-636-6700,http://www.bentoncountyfuneralhome.com,,Yes,No,No,No,,Independent,,,,0c2798a8-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,8c0be0bbc8b2722db598575341db2f4d,2026-03-26 04:52:30,2026-03-26 04:57:13,0
59,Benton Funeral Home,501 W 4th St,Fordyce,,71742-2207,870-352-3131,http://www.bentonfuneralhome.net,,Yes,No,No,No,,Independent,,,,77fc176b-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,46da1379ff80b6ac5ee0d06bb5699fdc,2026-03-26 04:52:30,2026-03-26 04:57:13,0
60,Benton Funeral Home,843 N Cedar St,Bearden,,71720-9568,870-352-3131,http://www.benton.funeralplan2.com,,Yes,No,No,No,,Independent,,,,f6febdfe-4fb7-e211-a6c3-18a90577596c,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,826847f704a28876ae1bbf2b47359e7f,2026-03-26 04:52:30,2026-03-26 04:57:13,0
61,Benton Funeral Home,126 Archer St,Hampton,,71744-9489,870-352-3131,http://www.bentonfuneralhome.net,,Yes,No,No,No,,Independent,,,,455c6055-9406-e811-80c2-94188202c19f,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.627901+00:00,20260326_045339,9835499720ffd016426949bc137b2676,2026-03-26 04:52:30,2026-03-26 04:57:13,0
62,Berardinelli Family Funeral Service,1399 Luisa St,Santa Fe,,87505-4127,505-984-8600,http://www.berardinellifuneralhome.com,,Yes,No,No,No,,Independent,,,,35c8aaf6-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.707897+00:00,20260326_045339,7225fb4cf3013dfd2c37a2678516cb7c,2026-03-26 04:52:30,2026-03-26 04:57:14,0
63,"Bespoke Undertakings, LLC",501 S Carroll Blvd Ste 101,Denton,,76201-7423,+1 (940) 283-1950,https://www.bespokeundertakings.com,,Yes,No,No,No,,Independent,,,,594ad24d-cc9b-f011-b41b-7c1e525cc794,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,c8a678afe8999d3f00b3b668915a2961,2026-03-26 04:52:30,2026-03-26 04:57:14,0
64,Biggers Funeral Home,6100 Azle Ave,Fort Worth,,76135-2438,817-237-3341,http://www.biggersfh.com,,Yes,No,No,No,,Independent,,,,e484c42c-96b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,af40313070894341f87d187e6bcdfb54,2026-03-26 04:52:30,2026-03-26 04:57:14,0
65,Birzer Funeral Home,203 N 7th St,Sterling,,67579-1803,620-278-3531,http://www.birzerfuneralhomes.com,,Yes,No,No,No,,Independent,,,,065e9096-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,d11f54e6b0b3421a35fe40eabbc8d01f,2026-03-26 04:52:30,2026-03-26 04:57:13,0
66,Birzer Funeral Home,214 West Ave S,Lyons,,67554-2712,620-257-2211,http://www.birzerfuneralhomes.com,,Yes,No,No,No,,Independent,,,,98fc176b-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,8753a705621c0910364e15bae02a9ff9,2026-03-26 04:52:30,2026-03-26 04:57:13,0
