id,company_name,address,city,state,state_full,zip_code,country,phone,email,website,brewery_type,is_craft_brewery,independence_certified,membership_status,membership_type,voting_member,account_badges,year_established,latitude,longitude,geocode_accuracy,region,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
11,Grove Cartel Brewing Co.,211 N Main St,China Grove,NC,North Carolina,28023,US,(980) 643-1961,,https://thegrovecartel.com/,Taproom,Yes,No,,,No,,,35.571246,-80.578688,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,7cfc7987cc19be67083a6c349e5a4abc,2026-03-25 20:30:01,2026-03-26 16:02:01,0
12,Wyrd Sisters Brewing LLC,4840 Chateau Ave,North Charleston,SC,South Carolina,29405,US,(901) 361-1171,,https://wyrdsisters.beer,Taproom,Yes,No,Expired,Brewery Membership,No,"CBC 2023 Attendee,CBC 2024 Attendee",,32.882684,-79.976579,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,1ca7de85e9581e38350ea7241ac32402,2026-03-25 20:30:01,2026-03-26 16:02:01,0
13,Remlinger Brewing,32610 NE 32nd St,Carnation,WA,Washington,98014-6104,US,(206) 250-9213,,https://remlingerfarms.com,Brewpub,Yes,No,Active,Brewery Membership,Yes,"CBC 2023 Attendee,CBC 2024 Attendee,CBC 2025 Attendee,BA Brewery Member",,47.640182,-121.902878,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,11c05b5075014256770685e75cef69e2,2026-03-25 20:30:01,2026-03-26 16:02:01,0
14,Modest Roots Brewing Co.,3 Industrial Way,Tyngsborough,MA,Massachusetts,01879,US,,,,Micro,Yes,No,,,No,,,42.662789,-71.427758,Address,Northeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,e7979d66eb5ce526c44b36b279ec40cf,2026-03-25 20:30:01,2026-03-26 16:02:01,0
15,BridgeWay Brewing Company,610 BridgeWay Blvd,Mauldin,SC,South Carolina,29681,US,(864) 688-2106,,https://bridgewaybrewing.com/,Brewpub,Yes,No,Expired,Brewery Membership,No,,,34.7824,-82.2703,ExtendedZip,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,1a5c65f81a9f7842212a72a964f3dc0a,2026-03-25 20:30:01,2026-03-26 16:02:01,0
16,"Brewery in Planning - Gulf Breeze, FL",6196 Jenks Drive,Gulf Breeze,FL,Florida,32563,US,(978) 985-8343,,,Brewery In Planning,No,No,Cancelled,Monthly Brewery Membership,No,,,30.4166,-86.9696,ExtendedZip,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,692c63e362198d65237896c641ce0a62,2026-03-25 20:30:01,2026-03-26 16:02:01,0
17,Coastline Brewing Company,4 Grove Beach Rd North unit 1C,WESTBROOK,CT,Connecticut,06498,US,8606645185,,https://www.coastlinebrewingco.com,Taproom,Yes,No,Active,Brewery Membership,Yes,"CBC 2023 Attendee,CBC 2024 Attendee,BA Brewery Member",,41.276779,-72.483541,Address,Northeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,5d99efd9681cbb6db1a47ce6071346e2,2026-03-25 20:30:01,2026-03-26 16:02:01,0
18,Mindscape Fermentations,5424 Crossings Dr,Rocklin,CA,California,95677-3926,US,(916) 672-6462,,https://Www.mindscapefermentations.com,Taproom,Yes,No,Expired,Brewery Membership,No,CBC 2023 Attendee,,38.799829,-121.20329,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,31d69979a48220fa01e1f07b63af2546,2026-03-25 20:30:01,2026-03-26 16:02:01,0
19,Peaceful Arts Ales and Lagers,19110 NW 218th Ave,High Springs,FL,Florida,32643-9150,US,(508) 212-2345,,,Brewery In Planning,No,No,Cancelled,Monthly Brewery Membership,No,,,29.855896,-82.546883,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,5742c3591b582e2275185a59e15e8f13,2026-03-25 20:30:01,2026-03-26 16:02:01,0
20,Ogle County Brewery - Oregon Theater,110 N 4th St,Oregon,IL,Illinois,61061,US,,,,Brewery In Planning,No,No,,,No,,,42.015073,-89.332913,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,4fef5fe333dbe78e7d4131e94d9b949e,2026-03-25 20:30:01,2026-03-26 16:02:01,0
21,Cervecería Agelán Rodríguez SRL,"Carretera Luperon no. 23, Primer nivel,",Santiago,,,51000,US,,,https://www.cerveceriaagelanrodriguez.com,Brewery In Planning,No,No,Expired,Monthly Brewery Membership,No,,,,,,,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,aafa6d85e3e43a7569ede2cec84d0053,2026-03-25 20:30:01,2026-03-26 16:02:01,0
22,Lesser Known Beer Co,901 S Broad St,Winston Salem,NC,North Carolina,27101,US,,,https://www.lesserknownbeer.com,Taproom,Yes,No,,,No,,,36.08256,-80.245241,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,f4e5a3b85633a56d07296a37140bed80,2026-03-25 20:30:01,2026-03-26 16:02:01,0
23,Trippin Billies Craft Brewery,120 East Broad st,Blackstone,VA,Virginia,23824,US,4342943889,,https://www.trippinbilliesbrewery.com/,Brewpub,Yes,No,Active,Brewery Membership,Yes,"CBC 2024 Attendee,BA Brewery Member",,37.079931,-77.99671,Address,Mid-Atlantic,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,784f66a56b2da07823d8bfb904acfb5e,2026-03-25 20:30:01,2026-03-26 16:02:01,0
24,"Rainbow Hills Winery, Brewpub & Pizzeria",26349 Township Rd 251,Newcomerstown,OH,Ohio,43832,US,740-545-9305,,https://www.rainbowhillswinery.com,Brewpub,Yes,No,,,No,,,40.328679,-81.668536,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,f7d4816710c829359ca02a228b330257,2026-03-25 20:30:01,2026-03-26 16:02:01,0
25,Backcountry Winery & Brewery,3533 Fenton Ave,Stratford,IA,Iowa,50249,US,515-257-6739,,https://www.backcountrywinery.com,Taproom,Yes,No,,,No,,,42.276813,-93.875129,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,3b19f8b95d3eabdfa821d976494d41e8,2026-03-25 20:30:01,2026-03-26 16:02:01,0
26,Apoptosis Brewing Company,3811 S Westnedge Ave,Kalamazoo,MI,Michigan,49008,US,(269) 459-1057,,https://www.apoptosisbrewing.com,Taproom,Yes,No,,,No,,,42.253472,-85.589219,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,827c0511e2d6fa831199d9728f43d9c3,2026-03-25 20:30:01,2026-03-26 16:02:01,0
27,Barker Brewhouse,96 N Barker Ave,Evansville,IN,Indiana,47712,US,(812) 437-5079,,https://www.barkerbrewhouse.com,Brewpub,Yes,No,Active,Brewery Membership,Yes,"CBC 2024 Attendee,CBC 2025 Attendee,BA Brewery Member",,37.978368,-87.610509,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,1438ec60a3e927240176d96a830742e7,2026-03-25 20:30:01,2026-03-26 16:02:01,0
28,The Grange Public House and Brewery,129 S Jefferson St,Mount Pleasant,IA,Iowa,52641,US,(319) 385-3121,,https://www.grangepublichouse.com,Brewpub,Yes,No,,,No,,,40.965893,-91.555136,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,4863ea96ccd69a3543320dcc05ed4453,2026-03-25 20:30:01,2026-03-26 16:02:01,0
29,Gamble Block Brewery,1203 2nd St,Perry,IA,Iowa,50220,US,5152501767,,,Taproom,Yes,No,,,No,,,41.839719,-94.10554,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,0c4bb8f3b2de97cbe5e6e3f65a9d86ee,2026-03-25 20:30:01,2026-03-26 16:02:01,0
30,Breu Haus,1220 2nd Ave,Sheldon,IA,Iowa,51201,US,,,,Taproom,Yes,No,,,No,,,43.176026,-95.858707,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,9ed573bd0490fb63fc07e3f554b54e93,2026-03-25 20:30:01,2026-03-26 16:02:01,0
31,Somerset Brewing Company,94C Cherry Valley Ave,West Hempstead,NY,New York,11552,US,(516) 447-6983,,https://www.somersetbrewing.com,Taproom,Yes,No,,,No,,,40.708016,-73.653899,Address,Northeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,8986fe6fd1af3cfa55d1bd6c19a71e64,2026-03-25 20:30:01,2026-03-26 16:02:01,0
32,North Branch Brewing Co,101 Armstrong St,Keyser,WV,West Virginia,26726,US,(304) 790-7125,,,Brewpub,Yes,No,,,No,,,39.440818,-78.973536,Block,Mid-Atlantic,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,15d5da08aeed6985973380e95bfed3c3,2026-03-25 20:30:01,2026-03-26 16:02:01,0
33,Howdy Beer LLC,105 W Emma St,Lafayette,CO,Colorado,80026,US,(720) 443-3007,,,Beer Brand,No,No,Expired,Brewery Membership,No,"GABF 2022 Sponsor,GABF 2023 Sponsor",,39.994559,-105.091264,Address,Mountain,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,b64095dd944e913e6b378f204ed6193c,2026-03-25 20:30:01,2026-03-26 16:02:01,0
34,Chubby Mermaid Brewing Co.,28292 Industrial Rd Unit 1,Bonita Springs,FL,Florida,34135,US,12072812454,,https://chubbymermaidbrewing.com,Brewpub,Yes,No,Active,Brewery Membership,Yes,"BA Brewery Member,CBC 2026 Attendee",,26.327823,-81.78306,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,efc8b9b742e40ce901e3a3b44d436b4e,2026-03-25 20:30:01,2026-03-26 16:02:01,0
35,Spirit of '36 Brewing Company,806 N 8th St,Haskell,TX,Texas,79521,US,(940) 447-4559,,,Brewery In Planning,No,No,Expired,Brewery Membership,No,,,33.164204,-99.737759,Block,Southwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,814079428d448c3afa8e66683a77d819,2026-03-25 20:30:01,2026-03-26 16:02:01,0
36,George Lopez Brewing Co,21770 Del Amo Circle E,Torrance,CA,California,90503,US,,,,Beer Brand,No,No,Expired,Brewery Membership,No,,,33.826859,-118.346746,Block,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,12fd9c1349daa56aa1b49df1b6a87272,2026-03-25 20:30:01,2026-03-26 16:02:01,0
37,Benton County Brewing Company,708 12th St,Belle Plaine,IA,Iowa,52208,US,(319) 434-2739,,https://www.bentoncountybrewing.com/,Taproom,Yes,No,,,No,,,41.896501,-92.277744,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,d0f59f2957a06b91082ac48a0e10de91,2026-03-25 20:30:01,2026-03-26 16:02:01,0
38,ReUnion Brewery - The Juice Factory,2319 Heinz Rd,Iowa City,IA,Iowa,52240,US,(319) 337-3000,,,Micro,Yes,No,Expired,Brewery Membership,No,,,41.636566,-91.490929,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,5e9046d817445af7f1fbecf565d775a3,2026-03-25 20:30:01,2026-03-26 16:02:01,0
39,Charleston Nano Brewery,320 W Washington St,Charleston,WV,West Virginia,25302,US,,,https://www.charlestonnano.com,Taproom,Yes,No,,,No,,,38.361723,-81.641112,Address,Mid-Atlantic,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,7f7e1be9723dcddd2bc0cf66028bf46c,2026-03-25 20:30:01,2026-03-26 16:02:01,0
40,Hawk Mountain Brewery,3530 Lehigh Street,Whitehall,PA,Pennsylvania,18052,US,(484) 885-3609,,https://www.hawkMountainBrewery.com,Brewpub,Yes,No,Active,Brewery Membership,Yes,"BA Brewery Member,CBC 2026 Attendee",,40.656022,-75.494677,NearAddress,Northeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,dcc6074d3b5e5fd033e323f1aab68ab3,2026-03-25 20:30:01,2026-03-26 16:02:01,0
41,Lake Time Brewery Production Facility,2401 Main Ave,Clear Lake,IA,Iowa,50428,US,(641) 357-2040,,,Micro,Yes,No,Expired,Brewery Membership,No,,,43.137212,-93.359266,Block,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,a6c24bb8116d5d7d0de3b3bc927d8e0f,2026-03-25 20:30:01,2026-03-26 16:02:01,0
42,Lawn Chair Brewing Company,339 Eastover Dr.,Concord,NC,North Carolina,28025,US,7047075157,,https://www.lawnchairbrewing.com,Brewery In Planning,No,No,Expired,Brewery Membership,No,,,35.406422,-80.564362,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,1e5a0638feaa24adc5b5f81609e6c4cd,2026-03-25 20:30:01,2026-03-26 16:02:01,0
43,Alestone Brewing,351 N Ronald Reagan Blvd Ste 1055,Longwood,FL,Florida,32750-4159,US,(321) 972-8575,,https://www.alestonebrewing.com,Brewpub,Yes,No,Expired,Monthly Brewery Membership,No,,,28.701366,-81.345823,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,41e1f6c8ec732b680bd3ec0e79b07c8e,2026-03-25 20:30:01,2026-03-26 16:02:01,0
44,Lebanon Brewing Co.,20 W. Silver St.,Lebanon,OH,Ohio,45036,US,(440) 242-5153,,https://lebanonbrewingco.com,Brewpub,Yes,No,Active,Monthly Brewery Membership,Yes,"CBC 2024 Attendee,CBC 2023 Attendee,BA Monthly Brewery Member",,39.435875,-84.209522,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,3db9647c415072501dfa78260b37acbf,2026-03-25 20:30:01,2026-03-26 16:02:01,0
45,Austin Craft Brewing Company,4700 Burleson Road Ste G,Austin,TX,Texas,78744,US,(512) 337-2728,,https://austincraftbrew.com,Taproom,Yes,No,Expired,Monthly Brewery Membership,No,BA Monthly Brewery Member,,30.212704,-97.730454,Address,Southwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,3a37c232566b685530f3b0405edc1b38,2026-03-25 20:30:01,2026-03-26 16:02:01,0
46,Scythe Brewing Company,"1217 3rd Avenue, Suite 150",Longview,WA,Washington,98632,US,(360) 560-9007,,https://www.scythebrewing.com,Brewpub,Yes,No,Expired,Brewery Membership,No,,,46.133784,-122.923766,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,451d097f1e11031cc57d78dc54f99744,2026-03-25 20:30:01,2026-03-26 16:02:01,0
47,Bucks Mill Brewing,824 Washington Ave,Detroit Lakes,MN,Minnesota,56501-3014,US,(763) 218-7085,,https://www.bucksmillbrewing.com,Taproom,Yes,No,Active,Brewery Membership,Yes,"CBC 2024 Attendee,CBC 2022 Attendee,BA Brewery Member,2025 BOD Voter",,46.817769,-95.84547,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,e8a2f19e20aa147937293858c58b3d57,2026-03-25 20:30:01,2026-03-26 16:02:01,0
48,Brew and Feed Brewing,225 S Broad St,Mooresville,NC,North Carolina,28115,US,980-689-1927,,https://www.brewandfeed.com,Alt Prop,Yes,No,,,No,,,35.581515,-80.815329,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,8865e985131f23b6ca3ab382be66c0e0,2026-03-25 20:30:01,2026-03-26 16:02:01,0
49,Windward Brewing Company,4970 Clover Lane,Homer,AK,Alaska,99603,US,(907) 347-3308,,,Brewery In Planning,No,No,Cancelled,Monthly Brewery Membership,No,,,59.662466,-151.476258,Block,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,c4a4701eff1832f6e75d06c3209e2cfa,2026-03-25 20:30:01,2026-03-26 16:02:01,0
50,Solar Brewing Company,8108 E Oak Island Dr,Oak Island,NC,North Carolina,28465-8059,US,(910) 408-2579,,https://solarbrewingoki.com/,Brewpub,Yes,No,Active,Monthly Brewery Membership,Yes,BA Monthly Brewery Member,,33.908968,-78.083765,Block,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,3584c93c13ce103b26c0f43e9665f5c1,2026-03-25 20:30:01,2026-03-26 16:02:01,0
51,Black Locust Hops Farm Brewery,21305 HEATHCOTE RD,Freeland,MD,Maryland,21053,US,,,https://www.blacklocusthops.com/,Taproom,Yes,No,,,No,,,39.709648,-76.664645,Address,Mid-Atlantic,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,125c9e172336be63be582c569d9b4f5f,2026-03-25 20:30:01,2026-03-26 16:02:01,0
52,Project 9 Brewing Co,1409 NE 80th St,Seattle,WA,Washington,98115,US,,,https://www.project9brewing.com,Taproom,Yes,No,Active,Brewery Membership,Yes,"CBC 2025 Attendee,BA Brewery Member,CBC 2026 Attendee",,47.686522,-122.313069,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,b2fe280b57b3264d3666acd3f88e0a9b,2026-03-25 20:30:01,2026-03-26 16:02:01,0
53,Laudenbach Brewing,45 Centreport Pkwy Suite #101,Fredericksburg,VA,Virginia,22406,US,540-699-2874,,,Taproom,Yes,No,Active,Brewery Membership,Yes,BA Brewery Member,,38.392228,-77.441853,NearAddress,Mid-Atlantic,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,82a45510c4a41254a7db43e28564670f,2026-03-25 20:30:01,2026-03-26 16:02:01,0
54,Stahoo's Brewery and Taproom,1015 E C St,Casper,WY,Wyoming,82601,US,(307) 247-0464,,http://www.stahoosbrewery.com/,Taproom,Yes,No,,,No,,,42.85346,-106.311906,Address,Mountain,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,070288a556edbe6b0c9cf1bf1d440723,2026-03-25 20:30:01,2026-03-26 16:02:01,0
55,Sunken Ship Brewing Company,32273 124th St,Princeton,MN,Minnesota,55371,US,763-220-5181,,https://www.sunkenshipbrewing.com,Taproom,Yes,No,,,No,,,45.555188,-93.582441,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,93e8aacfd32957370f08b55774cb25c8,2026-03-25 20:30:01,2026-03-26 16:02:01,0
56,Pleasant Prairie Brewing,"601 Main Street, Ste. B",Scobey,MT,Montana,59263,US,(406) 487-2702,,https://www.pleasantprairiebrewing.com,Micro,Yes,No,Expired,Brewery Membership,No,Taproom Outreach,,48.786253,-105.419112,NearAddress,Mountain,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,ae1d80f7920448bc5706bb2e00b63346,2026-03-25 20:30:01,2026-03-26 16:02:01,0
57,Hop Butcher For the World,6398 W 74TH ST,Chicago,IL,Illinois,60638-6129,US,,,,Brewery In Planning,No,No,Expired,Monthly Brewery Membership,No,,,41.75801,-87.779636,Address,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,f30ee909688ff5f06e05f2775efc65ae,2026-03-25 20:30:01,2026-03-26 16:02:01,0
58,Humble Sea Brewing Co - Pacifica,5560 Pacific Coast Hwy,Pacifica,CA,California,94044,US,(650) 898-8008,,https://humblesea.com,Brewpub,Yes,No,Active,Brewery Membership,Yes,,,37.6207,-122.4868,Zip,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,514c9eb4aac105f01bc5ef983ef9cfba,2026-03-25 20:30:01,2026-03-26 16:02:01,0
59,Hyperbolic Brewing,1235 North Orange Avenue,Orlando,FL,Florida,32804,US,,,,Brewery In Planning,No,No,Expired,Brewery Membership,No,,,28.562673,-81.372808,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,3455ddfa695a7298d610802f0c9620a5,2026-03-25 20:30:01,2026-03-26 16:02:01,0
60,Humble Roots Beer Project,314 Wendell Ave,Fairbanks,AK,Alaska,99701-4838,US,,,https://www.humblerootsbrew.com,Taproom,Yes,No,Expired,Brewery Membership,No,,,64.845279,-147.714506,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,86d757fc72e63334df0d502f1572170c,2026-03-25 20:30:01,2026-03-26 16:02:01,0
61,Mt. Ascension Brewing Company,317 Cruse Ave,Helena,MT,Montana,59601,US,(406) 442-9501,,https://www.mtascensionbrewing.com,Taproom,Yes,No,,,No,,,46.588826,-112.036638,Address,Mountain,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,0cd68b67c85d3fe8a3d716692d7bcee9,2026-03-25 20:30:01,2026-03-26 16:02:01,0
62,Bearpaw River Brewing Co,240 E Railroad Ave,Wasilla,AK,Alaska,99654,US,(907) 373-2537,,,Micro,Yes,No,Active,Brewery Membership,Yes,,,61.579752,-149.445559,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.891627+00:00,20260326_160140,9a4b10b5ded8626e08e1787aa0c5d70b,2026-03-25 20:30:01,2026-03-26 16:02:01,0
