id,company_name,address,city,state,zip_code,country,phone,email,website,cert_type,certified_tech_count,hvac_specialty,manufacturer_count,has_premium_brands,multi_brand_dealer,carries_geothermal,carries_mini_split,nate_certified_company,affiliate_number,latitude,longitude,distance_miles,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
12,Lassen Heating & Cooling LLC,230 South Washington Street STESTE 15,Plainville,CT,06062,United States,860-951-5086,lassenheatingandcooling@comcast.net,https://www.lassenheatingandcooling.com,Basic,1,"American Standard, Bryant, Carrier, Heil, International Comfort Products, Mitsubishi, Trane, WaterFurnace",8,Yes,Yes,Yes,Yes,Yes,C3-40223,41.6568303,-72.8747088,31.351970847164985,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,e57a60fc16914d43b69104746e1407ee,2026-03-25 21:38:45,2026-03-26 10:03:16,0
13,"Absolute Air Services, LLC",10B Stack St.,Middletown,CT,06457,United States,860-666-4200,email@absolutairservices.com,https://www.absoluteairservices.com,,0,"Carrier, Goodman, Mitsubishi",3,Yes,Yes,No,Yes,Yes,C3-52303,41.5682902,-72.6546974,34.678950948893885,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,5c5a39e52a3615053045e1136522e233,2026-03-25 21:38:45,2026-03-26 10:03:16,0
14,F. F. Hitchcock Co.,264 Sandbank Road,Cheshire,CT,06410,United States,203-272-5400,john@ffhitchcock.com,https://www.ffhitchcock.com,,0,"Goodman, Lennox, WaterFurnace",3,Yes,Yes,Yes,No,Yes,C3-40343,41.5353004,-72.9012456,39.61953191165726,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,e1bef752b643c4e61621ffe1cf114398,2026-03-25 21:38:45,2026-03-26 10:03:16,0
15,Comfort Control Mechanical Inc.,81 Longview Terrace,Pittsfield,MA,01201,United States,413-841-2681,bradjmx4@gmail.com,https://comfortcontrolmechanical.com,,0,Trane,1,Yes,No,No,No,Yes,C3-79950,42.449839,-73.218568,40.248344485354,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,7657cee00193ee02cb45e9dc37df57c0,2026-03-25 21:38:45,2026-03-26 10:03:16,0
16,"Don Davis Heating, Cooling & Plumbing",316 Merrill Rd,Pittsfield,MA,01201,United States,413-443-7354,ddheat54@aol.com,https://www.dondavisheating.com,,0,,0,No,No,No,No,Yes,C3-95838,42.456085,-73.212951,40.312582604749274,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,169d202f554fcca28ddd4c65724a1432,2026-03-25 21:38:45,2026-03-26 10:03:16,0
17,Victory Mechanical Services,115 Mendon St,Bellingham,MA,02019,United States,508-966-9858,tcook32@victoryhvac.com,https://victoryhvac.com,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Nordyne, Rheem, Ruud, Trane, York",13,Yes,Yes,No,No,Yes,C3-92017,42.0871119,-71.4873421,58.388649804851866,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,6106395e31f5e98204629b258e082e20,2026-03-25 21:38:45,2026-03-26 10:03:16,0
18,"HomeServe USA Corp - Norwalk, CT",601 Merritt 7,Norwalk,CT,06851,United States,855-336-2465,randall.boutte@homeserveusa.com,https://www.homeserve.com/en-us/about-us/,,8,,0,No,No,No,No,Yes,C3-40726,41.1467171,-73.4270264,76.13977857019931,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,943d652e84b0070d15a54f6b03db3bec,2026-03-25 21:38:45,2026-03-26 10:03:16,0
19,BROAD U.S.A. Inc.,"401 Hackensack Ave, Suite 503",Hackensack,NJ,07601,United States,201-678-3010,hugochen@broadusa.com,https://broadusa.com/broad/,,1,,0,No,No,No,No,Yes,C3-40865,40.9085114,-74.0336353,108.56713458298131,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,6f2574733e6cd0fc1edd3a9671acecc3,2026-03-25 21:38:45,2026-03-26 10:03:16,0
20,"A. J. Perri, Inc.",1162 Pine brook Rd.,Tinton Falls,NJ,07724,United States,732-747-3131,aperri@ajperri.com,https://www.ajperri.com,,2,"Carrier, Lennox",2,Yes,No,No,No,Yes,C3-23629,40.2890034,-74.0831565,144.58454445142226,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,3cb7b4c24234f9af39cf7d53ddc0862d,2026-03-25 21:38:45,2026-03-26 10:03:16,0
21,"Chuck Russo Htg & A/C, LLC",48 Clove Rd,Castleton-on-Hudson,NY,12033,United States,518-732-2356,crhvac@nycap.rr.com,https://chuckrussoheatandair.com,,0,"Bryant, Carrier, York",3,Yes,Yes,No,No,Yes,C3-58912,42.5038709,-73.736455,25.247265128697997,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,f9453b5dd23a63b31b2aee79a308beea,2026-03-25 21:38:45,2026-03-26 10:03:16,0
22,Family Danz,404 N Pearl St,Albany,NY,12207,United States,518-427-8685,info@familydanz.com,https://www.familydanz.com,Quality,1,"Bryant, Trane",2,Yes,No,No,No,Yes,C3-19614,42.663186,-73.745118,29.25934697041728,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,85a42b0507e89a0937484d80b9559482,2026-03-25 21:38:45,2026-03-26 10:03:16,0
23,"Ridgeline Heating and Cooling, LLC",376 KENWOOD AVE,DELMAR,NY,12054,United States,518-694-6967,paul.f@ridgelinecomfort.com,https://ridgelinecomfort.com,,0,"Carrier, Mitsubishi",2,Yes,No,No,Yes,Yes,C3-40623,42.621711,-73.8315911,32.02519914804121,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,d648f04e64030d079c932e51fe6a7f29,2026-03-25 21:38:45,2026-03-26 10:03:16,0
24,Adams Htg & Clg,2088 Curry Rd,Schenectady,NY,12303,United States,518-356-4730,johnr@adams-heat.com,https://www.adams-heating.net,,0,"Bryant, Rheem",2,No,No,No,No,Yes,C3-17007,42.7745536,-73.9527917,42.2700784590759,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,37d48d6acd01dd5a07b97dfd854edc30,2026-03-25 21:38:45,2026-03-26 10:03:16,0
25,Veritas Heating and Cooling,200 Normanskill Drive,Princetown,NY,12056,United States,518-389-8613,adamostrander@veritasheatingandcooling.com,https://www.veritasheatingandcooling.com,,0,Heil,1,No,No,No,No,Yes,C3-40181,42.773171,-74.041325,46.127325907744684,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,071d91fe03cc0609a09e412296e1c53f,2026-03-25 21:38:45,2026-03-26 10:03:16,0
26,"Pinder Service Company, Inc",11994 Kennedyville Road BLDGBLDG,Kennedyville,MD,21645,United States,410-348-5263,mlayton@shoredist.com,https://pinderservicecompany.com,,1,Carrier,1,Yes,No,No,No,Yes,C3-40394,39.3060631,-75.9958625,260.50929921133036,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,c72a6260e81c06e4f43be65a7669351d,2026-03-25 21:38:45,2026-03-26 10:03:16,0
27,"360 AIR TECH,LLC",5812 Mooretown Rd Suite G,Williamsburg,VA,23188,United States,757-630-7678,info@360airtech.com,https://www.360airtech.com,,0,"American Standard, Mitsubishi",2,Yes,No,No,Yes,Yes,C3-40692,37.3234368,-76.7349064,399.4208479595374,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,d53bdc3a48bbf08d745c39831bc1292d,2026-03-25 21:38:45,2026-03-26 10:03:16,0
28,Koch and White,2608 W. Liberty BLDGBLDG,Ann Arbor,MI,48103,United States,734-663-0204  9118,stevej@koch-white.com,https://WWW.KOCH-WHITE.COM,,2,Carrier,1,Yes,No,No,No,Yes,C3-40694,42.2730345,-83.7820026,539.0513010435467,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,f90abb33473c00743dd41225c1c02aa2,2026-03-25 21:38:45,2026-03-26 10:03:16,0
29,Family Plumbing and Heating,519 W. 2nd Street,Gaylord,MI,49735,United States,989-732-8099,angela@familycomfortsystems.com,http://www.familyplumbingandheating.com,Standard,2,Bryant,1,No,No,No,No,Yes,C3-40762,45.0253437,-84.6808156,598.6327918655217,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,dfdb1b2ee63bb3115919878713e36c87,2026-03-25 21:38:45,2026-03-26 10:03:16,0
30,Comfort Zone of North Florida Inc,2000 WELLS RD SUITE CSUITE C,ORANGE PARK,FL,32073,United States,904-406-0070,comfortzoneofnf@comcast.net,https://www.comfortzoneofnf.com,Standard,2,Bryant,1,No,No,No,No,Yes,C3-40512,30.186035,-81.743029,968.3771000159487,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,d345c4358951a53ddaf6a5e2fcf8816c,2026-03-25 21:38:45,2026-03-26 10:03:16,0
31,Ed MacGray Heating and Cooling,21 Mohawk Trail PMB266,Greenfield,MA,01301,United States,413-834-1503,edward_macgray@comcast.net,,,0,,0,No,No,No,No,Yes,C3-83627,42.6013,-72.6236,,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,2961756aeda8ef7230c6c46bab13a076,2026-03-25 21:38:45,2026-03-26 10:03:16,0
32,"Josephs, LLC",7A Railroad St.,S. Deerfield,MA,01342,United States,413-773-3200,josephsheating@yahoo.com,https://www.josephsiaq.com,,0,,0,No,No,No,No,Yes,C3-15561,42.479039,-72.610309,8.46620079032549,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,7433af3874d731a501ce34c4354ee2a6,2026-03-25 21:38:45,2026-03-26 10:03:16,0
33,"A. L. Tyler & Sons, Inc.",175 Canal St,Brattleboro,VT,05301,United States,802-254-9309,,,,0,,0,No,No,No,No,Yes,C3-68976,42.847119,-72.562529,17.250333833358507,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,cd964eb05ea0e0da4d0bc710e794cb9c,2026-03-25 21:38:45,2026-03-26 10:03:16,0
34,KABRAN AIR CONDITIONING & HEATING,62 S Atlantic Ave BLDGBLDG,Cocoa Beach,FL,32952,United States,321-784-0127  101,michael@kabran.com,https://kabran.com,,1,"Amana, Bryant, Carrier, Rheem, Trane",5,Yes,Yes,No,No,Yes,C3-40506,28.3173762,-80.6091145,1081.599294320184,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,ffaf7a5e5c8ceffb66d9c449c6efdc74,2026-03-25 21:38:45,2026-03-26 10:03:16,0
35,"AAIR Systems Technologies, LLC",275 Oxford Street North,Auburn,MA,01501,United States,508-829-7740,aairsystems@verizon.net,,Basic,1,,0,No,No,No,No,Yes,C3-75522,42.2088238,-71.8468076,0.45722385759918416,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,c725df07ca9df53cdad93a850e64d581,2026-03-25 21:38:45,2026-03-26 10:03:16,0
36,Thackaberry Heating & Cooling Inc.,209 Purchase St.,Milford,MA,01757,United States,508-478-3825,davethack@thackaberryhvac.com,https://thackaberryhvac.com,,0,,0,No,No,No,No,Yes,C3-42977,42.1691211,-71.5288569,16.1214448416026,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,a833e91302d32a45d41d36baa3df648d,2026-03-25 21:38:45,2026-03-26 10:03:16,0
37,"Boucher Energy Systems, Inc.",88 Millville St,Mendon,MA,01756,United States,508-473-6648,tina@boucherenergy.com,https://www.boucherenergy.com,,0,"American Standard, Mitsubishi, Trane",3,Yes,Yes,No,Yes,Yes,C3-69784,42.087193,-71.561185,16.444972600348134,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,7a8925d9987fdc5583c1b948d32105e5,2026-03-25 21:38:45,2026-03-26 10:03:16,0
38,CPS Corporation,"41 Brigham Street, Unit #12",Marlborough,MA,01752,United States,508-460-6691,pbaldwin@cpshvac.com,https://www.cpshvac.com,,0,,0,No,No,No,No,Yes,C3-23732,42.3320848,-71.5429201,17.517649461737495,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,94ba0e693d6e44a9c4e5ffcba15242af,2026-03-25 21:38:45,2026-03-26 10:03:16,0
39,Middlesex Cooling Inc.,57 Florence St,Marlborough,MA,01752,United States,508-481-4202,info@middlesexcooling.com,https://www.middlesexcooling.com,,0,,0,No,No,No,No,Yes,C3-88133,42.3446114,-71.5486553,17.715480212475722,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,9afe698b27a50b9982252cb30a468609,2026-03-25 21:38:45,2026-03-26 10:03:16,0
40,Choice Heating & Cooling,115 Summer St,Blackstone,MA,01504,United States,508-463-5605,choicehtg@comcast.net,,,0,,0,No,No,No,No,Yes,C3-88245,42.0345922,-71.534006,19.61916108331992,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,5abfe4e2582b5b21ebe6ab138069a86b,2026-03-25 21:38:45,2026-03-26 10:03:16,0
41,"Chaves Htg & A/C, Inc",15 Bonazzoli Avenue,Hudson,MA,01749,United States,978-562-5309,info@chaveshvac.com,https://www.chaveshvac.com,,0,,0,No,No,No,No,Yes,C3-17934,42.3913135,-71.5482661,19.661137981709242,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,c35ff20b83b8cd988528b5ff6fc9ba79,2026-03-25 21:38:45,2026-03-26 10:03:16,0
42,Rodenhiser Plbg,71 Whitney St,Holliston,MA,01746,United States,508-429-9589,,https://www.rodenhiser.com,,0,,0,No,No,No,No,Yes,C3-42957,42.2155722,-71.4084368,22.108681198940328,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,a471b1776855f0b148dd35488aecd982,2026-03-25 21:38:45,2026-03-26 10:03:16,0
43,Top Notch HVAC,1 Main Street,Medway,MA,02053,United States,508-254-2517,dlynniii@yahoo.com,,,0,"American Standard, Carrier, Goodman, Rheem, Trane",5,Yes,Yes,No,No,Yes,C3-79505,42.156885,-71.389308,23.3324686782007,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,affb834110159aa126586a422f0fb3f5,2026-03-25 21:38:45,2026-03-26 10:03:16,0
44,"JBD Air Conditioning & Heating Services, Inc.",PO Box 217,Franklin,MA,02038,United States,508-528-2532,service@jbdhvac.com,https://www.jbdhvac.com,,0,"American Standard, Carrier, Goodman, Mitsubishi, Trane, York",6,Yes,Yes,No,Yes,Yes,C3-40527,42.0935,-71.4058,23.558761659596012,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,6bd91bed1e7881b064534ea4a17a803e,2026-03-25 21:38:45,2026-03-26 10:03:16,0
45,"J. Lawrence Hall Co., Inc.",17 Progress Avenue,Nashua,NH,03062,United States,603-882-2021,chall@jlawrencehall.com,https://www.jlawrencehall.com,,0,"American Standard, Carrier, Mitsubishi, Trane",4,Yes,Yes,No,Yes,Yes,C3-45149,42.740616,-71.4912615,40.98946988049831,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,d26c54130a213c39d8222987b9b577dd,2026-03-25 21:38:45,2026-03-26 10:03:16,0
46,HomeServe USA (New England),5 Constitution Way Site B,Woburn,MA,01801,United States,855-336-2465,randall.boutte@homeserveusa.com,http://Homeserve.com,Standard,33,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Mitsubishi, Nordyne, Rheem, Ruud, Trane, York",14,Yes,Yes,No,Yes,Yes,C3-40764,42.5096919,-71.1293478,41.963509298657684,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,7325c4ed581314fa1e714539897a710f,2026-03-25 21:38:45,2026-03-26 10:03:16,0
47,Card Heating & Cooling Inc.,51 N River Rd,Milford,NH,03055,United States,603-673-9767,mike@cardhvac.com,https://www.cardhvac.com,,0,,0,No,No,No,No,Yes,C3-53645,42.8430952,-71.6622211,44.92639366989676,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,7f0b53dfd2d0caa7c7d62a85574922ba,2026-03-25 21:38:45,2026-03-26 10:03:16,0
48,RR Services Inc.,376 Milford Road BLDGBLDG,Swansea,MA,02777,United States,508-674-8428,rrsinc@comcast.net,https://www.rrservs.com,Basic,1,"Amana, American Standard, Bryant, Carrier, Goodman, International Comfort Products, Lennox, Mitsubishi, Rheem, Trane, York",11,Yes,Yes,No,Yes,Yes,C3-40422,41.7499737,-71.2092788,45.17128020065102,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,daa0d60df748294f8801098199a2de04,2026-03-25 21:38:45,2026-03-26 10:03:16,0
49,"Air Design Services, Inc.",2305 Columbia Cir,Merrimack,NH,03054,United States,603-429-9882,airdesign@hotmail.com,https://www.airdesignservicesinc.com,,0,,0,No,No,No,No,Yes,C3-50812,42.8510752,-71.4948056,47.901626115423355,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,e327415b0269695d80c3fc458d7e29e3,2026-03-25 21:38:45,2026-03-26 10:03:16,0
50,LeBlanc Mechanical LLC,1250 R Main Street,Waltham,MA,02452,United States,617-719-5572,randy@leblancmechanical.com,https://www.leblancmechanical.com,,0,,0,No,No,No,No,Yes,C3-62569,42.3762678,-71.2630854,9.817041890321043,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,fe2fcca6bf26cfb2aaca825dd35f6c86,2026-03-25 21:38:45,2026-03-26 10:03:16,0
51,Keyes North Atlantic Inc.,,Newton,MA,02465,United States,617-964-6180,paulm@keyesweb.com,https://www.keyesweb.com,,1,,0,No,No,No,No,Yes,C3-29056,42.3492,-71.2267,10.718362481117119,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,7c7badd36a75f2924e0acc5d9f777261,2026-03-25 21:38:45,2026-03-26 10:03:16,0
52,Suburban Sheet Metal & Service Corporation,16 Southwest Park,Westwood,MA,02090,United States,781-769-1515,cvito@suburban-hvac.com,https://www.suburban-hvac.com,,1,"Carrier, Goodman",2,Yes,No,No,No,Yes,C3-96512,42.2248333,-71.181612,13.556007302627648,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,8273a115652b4cdce218eab6979d87e6,2026-03-25 21:38:45,2026-03-26 10:03:16,0
53,"Muirfield Mechanical Services, LLC",80 Littlefield Road,Boxborough,MA,01719,United States,978-263-7130,rmallard@muirfieldmechanical.com,https://www.muirfieldmechanical.com,,0,,0,No,No,No,No,Yes,C3-78010,42.49409,-71.48065,13.643196539169683,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,226e21f3794d0b369c2c7b0a49682ac0,2026-03-25 21:38:45,2026-03-26 10:03:16,0
